qr,loc,plot,field,nLvl,irrigation,rep,row,range,genotype,population,anthesisDate,silkDate,notes,leafDimHtDate,earHt,flagLeafHt,tasselTipHt,harvestDate,combineYield,combineMoisture,combineTestWt,harvestSeq,earFillLen,earWidth,shelledCobLen,shelledCobWidth,shelledCobWt,kernelsPerEar,kernelMass,kernelColor,kernelStriping,kernelsPerRow,kernelRows,hundredKernelWt,moistureCorrectedStarch,moistureCorrectedProtein,moistureCorrectedOil,moistureCorrectedFiber,moistureCorrectedAsh,pctMoistureNIR,latitude,longitude,yieldPerAc,plantDensity,pctRootLodge,pctStalkLodge,plantDate,totalStandCt,plotLen,daysToAnthesis,daysToSilk,moistureCorrectedKernelMass,moistureCorrectedHundredKernelWt,earLen,earWt,lbsNPerAc,ASI,GDDToAnthesis,GDDToSilk,ASI.GDD,exp,earHt.sp,flagLeafHt.sp,tasselTipHt.sp,combineMoisture.sp,combineTestWt.sp,earLen.sp,earFillLen.sp,earWidth.sp,shelledCobWidth.sp,shelledCobWt.sp,shelledCobLen.sp,kernelsPerEar.sp,moistureCorrectedStarch.sp,moistureCorrectedProtein.sp,moistureCorrectedOil.sp,moistureCorrectedFiber.sp,moistureCorrectedAsh.sp,yieldPerAc.sp,GDDToAnthesis.sp,GDDToSilk.sp,kernelsPerRow.sp,kernelRows.sp,moistureCorrectedKernelMass.sp,moistureCorrectedHundredKernelWt.sp,ASI.GDD.sp,daysToAnthesis.sp,daysToSilk.sp,ASI.sp
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP2$PLOT733$ROW13$RANGE14$LH82 X PHJ89,North Platte2,733,Partial Irrigation,Medium,Partial,2,13,14,LH82 X PHJ89,Hybrid,2022-07-22,2022-07-20,,NA,130,290,NA,2022-10-28 05:00:00,12.963797,12.771234,60.005501,NA,15.5,3.5,19.2,2.5,20.4,425.8,111.4,yellow,N,33.5,14.5,NA,71.07,8.84,3.98,0.83,0.95,0.04,NA,NA,118.967143129392,31000,0,3.2258064516129,2022-05-17 05:00:00,62,17.5,66,64,116.041666666667,27.1875,NA,NA,150,-2,1324.76,1282.71,42.05,NA,125.440505625699,282.867502747272,NA,13.3754791300295,59.6572988447152,NA,15.1952880393193,3.81309464069806,2.53027801531056,20.4853713399437,18.0117038110624,430.409025213164,70.4936502368762,9.47264677946903,4.01745107279586,0.902262392376011,0.973924621306098,143.05814795494,1347.38182148589,1287.58723214494,33.0192901694582,14.9573158965437,128.932955444901,29.7350598097707,61.9114569476156,66.9496316821449,64.2252396374793,-2.81002353243217
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP2$PLOT1018$ROW10$RANGE33$PHN46 X PHB47,North Platte2,1018,Partial Irrigation,High,Partial,2,10,33,PHN46 X PHB47,Hybrid,2022-07-24,2022-07-27,,NA,110,290,NA,2022-10-27 05:00:00,19.272938,13.686249,59.646698,NA,17.9,4.1,19.8,2.5,24.1,491.2,177.3,yellow,N,41,13,NA,71.13,9.13,3.43,1.01,0.96,0.04,NA,NA,175.01005322451,33500,0,2.98507462686567,2022-05-17 05:00:00,67,17.5,68,71,184.6875,35.4166666666667,NA,NA,225,3,1377.81,1443.31,65.5,NA,117.957141953567,286.065399166548,NA,13.8650410512909,59.5031264360475,NA,16.7624043729973,4.13353485507341,2.5400848481155,22.9060988342752,18.49202337574,498.848874480396,70.8644375899899,9.06064650026292,3.63403616558005,0.867261246015012,0.959125126802312,175.893541633564,1361.66532283762,1424.69995289832,38.3356410580537,14.3317029492564,169.616727617934,32.8018840109881,63.89651075792,67.3645001341325,70.2159057304832,2.8405038804623
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP2$PLOT877$ROW13$RANGE23$PHK56 X 3IIH6,North Platte2,877,Partial Irrigation,Medium,Partial,2,13,23,PHK56 X 3IIH6,Hybrid,2022-07-27,2022-07-25,,NA,150,290,NA,2022-10-28 05:00:00,28.172157,12.652314,59.862598,NA,16.9,4.4,18.2,2.5,25,554.8,198.7,yellow,N,38.2,15,NA,69.1,9.02,3.32,1.37,1.14,0.04,NA,NA,258.884820285203,31500,0,0,2022-05-17 05:00:00,63,17.5,71,69,206.979166666667,36.1458333333333,NA,NA,150,-2,1443.31,1400.36,42.9499999999998,NA,139.11484309743,288.72991188336,NA,13.1408202010095,59.6789113019455,NA,16.4137486242356,4.29553253054281,2.50358037205748,23.1600510040017,17.4550875891941,532.13376591118,69.3917841550122,9.25741657247617,3.51305615583443,1.21031483090489,1.08769246520595,232.30369376307,1415.56866499136,1362.9421866446,36.7280291555177,15.338689891092,183.200098662678,33.4566594609646,51.6682068778514,69.8318435735349,67.4397778823383,-2.36647116486043
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP2$PLOT590$ROW14$RANGE4$PHP02 X PHG47,North Platte2,590,Partial Irrigation,Low,Partial,2,14,4,PHP02 X PHG47,Hybrid,2022-07-25,2022-07-19,,NA,120,290,NA,2022-10-28 05:00:00,16.614046,12.26449,60.098701,NA,14.4,4,16.1,2.5,19.1,484.5,111.2,yellow,N,34,15,NA,66.74,11.31,4.79,1.69,1.1,0.06,NA,NA,153.350746922555,32500,0,4.61538461538462,2022-05-17 05:00:00,65,17.5,69,63,118.297872340426,21.5957446808511,NA,NA,75,-6,1400.36,1260.11,140.25,NA,122.599017146272,285.654088197346,NA,12.8794445819504,59.7236310764365,NA,14.2150646798361,3.97356132263414,2.55121545286611,18.5511024721617,15.9367680483515,457.458521969438,68.0224108946481,10.8871590984999,4.39154712804616,1.35640644777123,1.05717056664283,151.192433539177,1401.37914525785,1273.04880772871,32.66640056938,15.1789288195461,120.000852235329,24.6915623494034,128.035030246751,69.1195487079048,63.6088760916001,-5.48958768994839
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT689$ROW1$RANGE11$PHK56 X 3IIH6,North Platte2,689,Partial Irrigation,Low,Partial,1,1,11,PHK56 X 3IIH6,Hybrid,2022-07-22,2022-07-20,,NA,110,290,NA,2022-10-26 05:00:00,21.033615,13.741475,59.455101,NA,14.8,4.4,15.6,2.5,16.1,405,108.3,yellow,N,31,15,NA,67.29,9.33,3.47,1.16,1.08,0.04,NA,NA,190.875870179077,30500,0,0,2022-05-17 05:00:00,61,17.5,66,64,112.8125,29.375,NA,NA,75,-2,1324.76,1282.71,42.05,NA,118.029741375542,288.008737197981,NA,14.3310365911174,59.108597021509,NA,14.8481069938519,4.32177171312918,2.62416828005038,17.7135971955933,16.2564138103951,444.290221332457,68.648265172609,9.6219805497772,3.61583492619841,1.1081910273881,1.05777761164993,192.804335207998,1357.6065169405,1310.40757045552,31.8977300256161,15.1695082136449,127.118723280195,29.3089408369658,44.7715352004576,67.3911710898863,65.188654657308,-2.0902520591632
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT726$ROW6$RANGE14$2369 X PHZ51,North Platte2,726,Partial Irrigation,Medium,Partial,1,6,14,2369 X PHZ51,Hybrid,2022-07-27,2022-07-22,,NA,160,310,NA,2022-10-27 05:00:00,15.094357,13.336248,59.989601,NA,13,3.8,15.6,2.6,14.9,319.8,97.1,yellow,N,25,14.2,NA,67.6,11.59,4.02,1.4,0.98,0.04,NA,NA,137.621785106542,32500,0,0,2022-05-17 05:00:00,65,17.5,71,66,101.145833333333,30.625,NA,NA,150,-5,1443.31,1324.76,118.55,NA,142.186716282509,295.378507548575,NA,13.7377001393325,59.6796598236767,NA,13.8566267660943,3.91102148955592,2.59637857364334,17.0637023874858,16.087391050444,382.550040776182,68.527573748304,10.896712716238,4.04269364280303,1.22222245657794,1.0208088576678,149.987477836424,1429.12886601846,1334.72650283793,28.9375483183111,14.8870667382248,114.944441216147,29.6338166021501,93.0943857537174,70.4024832309625,66.3358513533614,-4.02690173649466
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT696$ROW8$RANGE11$SYNGENTA NK0760-3111,North Platte2,696,Partial Irrigation,Low,Partial,1,8,11,SYNGENTA NK0760-3111,Hybrid,2022-07-26,2022-07-24,,NA,120,270,NA,2022-10-27 05:00:00,23.471561,12.461792,60.346798,NA,16.2,4.4,17.9,2.6,18.4,512.5,138,yellow,N,35,15,NA,71.72,10.35,3.82,1.71,1.37,0.05,NA,NA,216.159689459247,34500,0,0,2022-05-17 05:00:00,69,17.5,70,68,145.263157894737,26.4210526315789,NA,NA,75,-2,1419.11,1377.81,41.3000000000002,NA,119.752057006345,270.849881029486,NA,12.8216667837805,60.1252217050441,NA,15.7465972719378,4.28135436063314,2.64016365453479,19.0425643550653,17.5569769973251,509.815429047502,70.7930512268755,10.2297286507518,3.83705881955066,1.50900123725746,1.2732026278067,207.133083415916,1403.87564921469,1349.18396341417,34.4892330348246,15.183894972804,143.972086934453,27.3828726751816,50.6959435906113,69.3452875704482,66.8145613034133,-2.35779983563352
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT692$ROW4$RANGE11$PIONEER P0589 AMXT,North Platte2,692,Partial Irrigation,Low,Partial,1,4,11,PIONEER P0589 AMXT,Hybrid,2022-07-23,2022-07-21,,NA,120,260,NA,2022-10-26 05:00:00,23.071951,13.393558,59.791401,NA,13.1,4.1,16,2.5,18.4,494.5,130.2,yellow,N,29,16,NA,70.73,9.82,3.3,1.01,1,0.04,NA,NA,210.217854778117,30500,0,0,2022-05-17 05:00:00,61,17.5,67,65,135.625,26.5625,NA,NA,75,-2,1348.66,1301.61,47.05,NA,120.79081738493,267.169195052179,NA,13.4870241950237,59.7738744475027,NA,14.1046903310155,4.15446610321305,2.60959656596061,18.9831995476997,16.5330344696777,495.900214174815,70.3439295949229,9.90888248685176,3.55275044658766,1.08853004540592,1.0493854148752,202.884275916337,1369.13353648996,1316.09788442389,31.2596822663021,15.6754260275003,138.755393360303,27.693450362544,49.9682025089319,67.8697391260193,65.5283654423526,-2.20489596220891
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP2$PLOT542$ROW14$RANGE1$LH195 X 3IIH6,North Platte2,542,Partial Irrigation,Low,Partial,2,14,1,LH195 X 3IIH6,Hybrid,2022-07-26,2022-07-27,,NA,130,280,NA,2022-10-28 05:00:00,21.526503,14.335323,58.581898,NA,12.1,4.4,15.1,2.9,18.4,413.5,99.6,yellow,N,27,16,NA,67.68,11.18,3.86,1.29,1.21,0.05,NA,NA,194.003849669093,32000,0,0,2022-05-17 05:00:00,64,17.5,70,71,104.842105263158,25.6842105263158,NA,NA,75,1,1419.11,1443.31,24.1999999999998,NA,127.364034563822,279.1961346961,NA,14.306338436278,58.6947173577446,NA,12.8781893718078,4.20096529824022,2.76165375369073,18.0126093406867,15.3324134870745,427.580917839877,68.0245685041739,11.0626727676158,3.96119100237682,1.24632521487009,1.16562956408623,174.735841811744,1389.91848593753,1359.5776767804,28.9528464792152,15.6694458611293,114.954635172855,26.7688865215012,55.3038140311708,68.7012871144974,67.3990965624546,-1.27382070515736
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT535$ROW7$RANGE1$LH198 X PHZ51,North Platte2,535,Partial Irrigation,Low,Partial,1,7,1,LH198 X PHZ51,Hybrid,2022-07-24,2022-07-18,,NA,140,200,NA,2022-10-27 05:00:00,14.919985,14.529499,59.206001,NA,12.6,3.6,13.6,2.9,16.1,352.5,92.8,yellow,N,30.5,14.2,NA,68.37,11.76,4.28,1.38,1.09,0.05,NA,NA,134.158970909527,31500,0,1.58730158730159,2022-05-17 05:00:00,63,17.5,68,62,97.6842105263158,25.1578947368421,NA,NA,75,-6,1377.81,1235.16,142.65,NA,128.630758108239,233.885330100268,NA,14.7905892835255,58.9939951319065,NA,13.4496602594001,3.74001930086342,2.76035642204571,16.8861661773329,14.7098886203115,396.24008563898,68.6141614440913,11.2900244940435,4.14563865645962,1.23317124889276,1.08015629291922,131.969556927942,1363.08406302583,1245.79339611371,31.1028766565086,14.7821911750785,108.524459754493,26.0534684235672,120.770458059586,67.437078691876,62.4745240625857,-5.01826441177203
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP2$PLOT729$ROW9$RANGE14$PHP02 X LH82,North Platte2,729,Partial Irrigation,Medium,Partial,2,9,14,PHP02 X LH82,Hybrid,2022-07-21,2022-07-18,,NA,110,260,NA,2022-10-27 05:00:00,14.77071,13.131741,60.187801,NA,15.9,4.2,17.2,2.6,23.2,436.8,141.3,yellow,N,33.5,15.5,NA,70.57,9.53,3.11,0.92,1.13,0.04,NA,NA,134.988748566835,32000,0,0,2022-05-17 05:00:00,64,17.5,65,62,147.1875,33.9583333333333,NA,NA,150,-3,1301.61,1235.16,66.45,NA,116.884442013212,269.42801076696,NA,13.5821389763039,59.8203525382954,NA,15.344676364932,4.13340580641021,2.5884129663575,21.5015691835508,16.9406663951604,438.808094545576,70.1116065955313,9.82822134706919,3.58544682637585,0.975988835934143,1.08946844573937,149.666867544801,1346.72392912268,1271.27541764281,33.2566883038265,15.5036791009074,140.77259897267,32.0805184800738,70.0796046187239,66.9120576367011,63.5653001121801,-3.14824231748025
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP2$PLOT734$ROW14$RANGE14$PHB47 X 3IIH6,North Platte2,734,Partial Irrigation,Medium,Partial,2,14,14,PHB47 X 3IIH6,Hybrid,2022-07-26,2022-07-23,,NA,110,270,NA,2022-10-28 05:00:00,18.823093,11.972823,60.375298,NA,16.8,4,18.4,2.5,22.1,446.8,140.8,yellow,N,34.2,13.5,NA,71.27,9.73,3.82,1.05,0.81,0.05,NA,NA,174.318244848412,33000,0,0,2022-05-17 05:00:00,66,17.5,70,67,148.210526315789,33.8947368421053,NA,NA,150,-3,1419.11,1348.66,70.45,NA,114.993338435235,272.426797425251,NA,13.0546703883561,59.7223698683979,NA,15.8579112250689,4.0705328789048,2.52944835952607,21.4313170321935,17.6294631364639,440.344608999546,70.6266610999359,9.9184006639842,3.93670213472014,1.0021929958826,0.89643699193493,171.093778169394,1398.48663121138,1322.71455011249,33.3061940536131,14.4455994180086,145.950525354986,33.3486559753322,77.117959997641,69.1171417004521,65.8129527202138,-3.35046819555791
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT727$ROW7$RANGE14$B73 X PHZ51,North Platte2,727,Partial Irrigation,Medium,Partial,1,7,14,B73 X PHZ51,Hybrid,2022-07-27,2022-07-24,,NA,140,300,NA,2022-10-27 05:00:00,13.252857,12.84825,60.229401,NA,14.5,3.9,16.4,2.6,15.5,311.2,78,orange,N,30.5,15,NA,69.48,11.68,4,0.74,0.93,0.04,NA,NA,121.512430051847,28500,0,0,2022-05-17 05:00:00,57,17.5,71,68,81.25,26.7708333333333,NA,NA,150,-3,1443.31,1377.81,65.5,NA,132.189756823431,290.08879717348,NA,13.4879190068673,59.7977786642772,NA,14.6193150408029,3.96850326597468,2.59385441726933,17.4596577160411,16.5051492158125,377.616083944029,69.5005846808416,10.9253987889462,4.03194470393655,0.892098303783086,0.995448723017865,142.260436761471,1428.45864977352,1356.87197602515,31.7438769821712,15.2761112373255,105.933342654905,27.9667472599543,67.5823397041543,70.374123772253,67.1609619834846,-3.06734907962774
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP2$PLOT538$ROW10$RANGE1$B37 X H95,North Platte2,538,Partial Irrigation,Low,Partial,2,10,1,B37 X H95,Hybrid,2022-07-28,2022-07-24,,NA,140,300,NA,2022-10-27 05:00:00,11.337286,15.552801,58.332802,NA,11.4,3.6,12.5,2.4,15.8,412.5,93.5,yellow,N,27.2,17.5,NA,67.97,11.93,4.1,1.29,0.98,0.05,NA,NA,100.723181175368,34000,0,0,2022-05-17 05:00:00,68,17.5,72,68,98.4210526315789,23.1578947368421,NA,NA,75,-4,1464.21,1377.81,86.4000000000001,NA,130.889264336172,287.777867094231,NA,14.7433151471322,58.872239894149,NA,12.8290344985261,3.76615936686763,2.51091310493111,16.7841972361855,14.1585259720176,428.808710428201,68.3006719001166,11.4019279924869,4.0611694318998,1.22348058489378,1.03756068962029,119.690493189776,1409.26070432214,1321.30713772139,29.4640777927585,16.4110558287937,110.782582578868,25.2730158748858,89.9689466065276,69.5652863779869,65.6577099669608,-3.91351280434085
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP2$PLOT539$ROW11$RANGE1$PHP02 X PHB47,North Platte2,539,Partial Irrigation,Low,Partial,2,11,1,PHP02 X PHB47,Hybrid,2022-07-24,2022-07-17,,NA,110,270,NA,2022-10-27 05:00:00,15.940186,13.441125,59.796902,NA,14.5,4.2,17.1,3,17.8,424.8,110.3,yellow,N,29,14.5,NA,66.23,11.53,4.26,1.26,1.1,0.05,NA,NA,145.15769727848,31500,0,0,2022-05-17 05:00:00,63,17.5,68,61,116.105263157895,26.5263157894737,NA,NA,75,-7,1377.81,1211.51,166.3,NA,116.493286978029,273.846205263055,NA,13.5604072850484,59.6743783694857,NA,14.3290714662698,4.07486509331092,2.81109840619687,17.7753016980708,16.4424436912786,435.503363642774,67.3960620631667,11.2108707607635,4.14527203996524,1.21617294497527,1.10120981739553,143.792111965661,1366.94113384771,1239.54496367821,30.3013867363387,14.9137403953202,120.024500896856,27.0166368911974,129.027108165802,67.6028292535349,62.2183996292121,-5.37858987511592
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP2$PLOT541$ROW13$RANGE1$B73 X PHZ51,North Platte2,541,Partial Irrigation,Low,Partial,2,13,1,B73 X PHZ51,Hybrid,2022-07-26,2022-07-24,,NA,120,270,NA,2022-10-28 05:00:00,18.203022,17.896044,56.797401,NA,14,4,16.8,2.5,18.6,441,148.9,yellow,N,31.5,14.5,NA,69.18,10.72,4.21,0.95,0.99,0.05,NA,NA,157.23262290058,32500,0,0,2022-05-17 05:00:00,65,17.5,70,68,156.736842105263,34.7368421052632,NA,NA,75,-2,1419.11,1377.81,41.3000000000002,NA,122.247695468047,274.563240645522,NA,15.9852672807737,57.9435894652964,NA,13.924759873336,3.99226732697739,2.56146868375036,18.1353356305951,16.227698807969,442.763449713606,68.8058046648817,10.8237397216589,4.13033947952167,1.07220522098997,1.05271444852577,154.072349231424,1389.1865052548,1325.45536278692,31.3407569103788,14.9188787311208,140.807167103086,31.2368369543031,64.7443214735966,68.6704273117367,65.8390995651377,-2.80874168705881
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT547$ROW3$RANGE2$2369 X PHZ51,North Platte2,547,Partial Irrigation,Low,Partial,1,3,2,2369 X PHZ51,Hybrid,2022-07-25,2022-07-22,,NA,150,310,NA,2022-10-26 05:00:00,8.921764,13.255358,59.975101,NA,15.4,3.5,16.8,2.4,20.8,477.8,116.8,yellow,N,36,14.5,NA,68.57,10.35,4.08,1.17,1.2,0.06,NA,NA,81.4195077059547,33500,0,0,2022-05-17 05:00:00,67,17.5,69,66,124.255319148936,25.2127659574468,NA,NA,75,-3,1400.36,1324.76,75.6000000000001,NA,131.202268860913,288.808008786508,NA,13.158581670803,59.9980441286097,NA,14.671084993856,3.67782212671983,2.50505761722174,19.099917511649,16.2955528881329,462.280043680444,68.9955287048142,10.4116966254681,4.04536463685861,1.02466076997916,1.12281329224408,104.707529747733,1374.46747067724,1292.97988871426,33.4723183343661,15.0917138753902,120.712761364102,25.8361326922071,87.8749393722845,67.9415170325222,64.5715727762203,-3.51476238574806
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP2$PLOT585$ROW9$RANGE4$PHK76 X LH82,North Platte2,585,Partial Irrigation,Low,Partial,2,9,4,PHK76 X LH82,Hybrid,2022-07-28,2022-07-18,,NA,90,240,NA,2022-10-27 05:00:00,15.118799,12.839733,60.279701,NA,13.4,4,16.1,2.8,14.4,387,99.9,orange,N,31,14.5,NA,69.77,9.66,4.59,0.49,1.08,0.06,NA,NA,138.634374513427,30500,0,0,2022-05-17 05:00:00,61,17.5,72,62,106.276595744681,26.8085106382979,NA,NA,75,-10,1464.21,1235.16,229.05,NA,103.978015506231,255.4338707507,NA,13.518413529266,59.7588676463184,NA,14.0027990273677,3.97133280897937,2.69952682080565,16.3640144355769,16.2443003850984,423.157227148497,69.6699274695111,9.96196661699957,4.25961590766165,0.720608159369723,1.04738972748835,142.943805712944,1427.74862096421,1261.75673220249,31.7097821261271,14.9345509112602,118.013052933567,27.251676990498,166.837205800829,70.3814728050545,63.1560120729795,-7.20849172086408
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT723$ROW3$RANGE14$PHG39 X PHM49,North Platte2,723,Partial Irrigation,Medium,Partial,1,3,14,PHG39 X PHM49,Hybrid,2022-07-27,2022-07-25,,NA,130,300,NA,2022-10-26 05:00:00,20.71195,15.663201,58.396801,NA,12.9,3.4,15.4,2.1,13.3,435.2,80.1,yellow,N,30,14.5,NA,66.55,11.85,3.75,1.57,1.36,0.05,NA,NA,183.76939454156,33500,0,0,2022-05-17 05:00:00,67,17.5,71,69,84.3157894736842,17.8947368421053,NA,NA,150,-2,1443.31,1400.36,42.9499999999998,NA,126.602704474807,291.084335786024,NA,14.8830350234303,58.8936647902572,NA,13.7685354146502,3.68850956547693,2.35388935804151,15.9758394601628,15.9341169223266,440.683862366407,67.9035412095276,11.0917693581148,3.90994045971668,1.29162486828178,1.19677941593412,172.096272127469,1407.95661155017,1357.57043214857,31.0267564658412,15.0689796705754,103.713683552004,22.488666240119,52.2527206605285,69.4962966096776,67.1935601437763,-2.40555876216236
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP2$PLOT731$ROW11$RANGE14$PHP02 X PHB47,North Platte2,731,Partial Irrigation,Medium,Partial,2,11,14,PHP02 X PHB47,Hybrid,2022-07-21,2022-07-18,,NA,110,270,NA,2022-10-27 05:00:00,17.457474,13.88,59.574501,NA,16,4,17.8,2.5,25.1,422.8,130.1,yellow,N,33.5,15,NA,71.37,10.06,3.53,1.37,1,0.05,NA,NA,158.168686168175,31500,0,1.58730158730159,2022-05-17 05:00:00,63,17.5,65,62,136.947368421053,32.9473684210526,NA,NA,150,-3,1301.61,1235.16,66.45,NA,116.260932664898,273.687350828283,NA,13.9047887185548,59.5387664940627,NA,15.420005755755,4.04824809851047,2.53345524364874,22.6434751004554,17.276184847692,430.206971014437,70.577628461631,10.083777561617,3.79394894928373,1.18910419861809,1.01287847537886,161.948006406946,1336.000474582,1263.1618570583,33.1611065582501,15.230664805403,137.519771313612,32.0950296003809,72.097065399931,66.4569888661398,63.2109621591735,-3.22913358114923
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT533$ROW5$RANGE1$B37 X H95,North Platte2,533,Partial Irrigation,Low,Partial,1,5,1,B37 X H95,Hybrid,2022-07-27,2022-07-24,,NA,130,280,NA,2022-10-27 05:00:00,6.086901,15.044,58.918701,NA,12.9,4,14,2.9,14.5,507.5,96.2,yellow,N,30.2,17.5,NA,67.15,12.27,4.11,1.31,0.98,0.05,NA,NA,54.4033166155473,32000,0,1.5625,2022-05-17 05:00:00,64,17.5,71,68,101.263157894737,19.5789473684211,NA,NA,75,-3,1443.31,1377.81,65.5,NA,121.869323858616,272.533827108585,NA,14.4693752079125,59.2304364590973,NA,13.5085882312584,3.92258013111401,2.75998497445092,15.9812881117283,14.8929266394674,473.426628571252,68.0882487225933,11.5269955890107,4.06499207664208,1.16392745903376,1.01606033894329,90.1307802194662,1393.69178424562,1314.30943075684,30.7524176208693,16.4926311297174,108.68506214013,23.0710355048713,83.9839424250855,68.8438805985155,65.3516673266949,-3.58810226784124
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT530$ROW2$RANGE1$PHZ51 X LH145,North Platte2,530,Partial Irrigation,Low,Partial,1,2,1,PHZ51 X LH145,Hybrid,2022-07-24,2022-07-17,,NA,110,270,NA,2022-10-26 05:00:00,10.862057,13.458641,59.853901,NA,14.6,3.4,17.2,2.2,18.1,410,106.8,yellow,N,30.2,15,NA,70.56,10.08,2.99,0.99,0.81,0.05,NA,NA,98.8942111174534,31500,0,0,2022-05-17 05:00:00,63,17.5,68,61,112.421052631579,27.2631578947368,NA,NA,75,-7,1377.81,1211.51,166.3,NA,108.97137323868,264.969783289884,NA,13.4335910090409,59.8313276523513,NA,14.1247641512248,3.59642770650517,2.40942847210325,17.5504989125774,16.4684305572018,426.514437949987,69.9305732466365,10.4047990918022,3.52209269840471,0.941653885867009,0.91698873397979,110.588988557745,1357.76417011922,1226.93224507392,30.2672941058261,15.3972892387052,111.856746001013,26.5850552892681,137.077991806602,67.2047484732671,61.6667494592365,-5.69290290340822
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP2$PLOT537$ROW9$RANGE1$F42 X MO17,North Platte2,537,Partial Irrigation,Low,Partial,2,9,1,F42 X MO17,Hybrid,2022-07-28,2022-07-18,,NA,130,280,NA,2022-10-27 05:00:00,13.054138,14.425499,58.991901,NA,14.2,3.9,15.2,2.9,16.6,395.2,113.3,yellow,N,29.2,14,NA,67.87,10.59,3.65,1.35,1.11,0.05,NA,NA,117.524295623231,32500,0,0,2022-05-17 05:00:00,65,17.5,72,62,119.263157894737,29.8947368421053,NA,NA,75,-10,1464.21,1235.16,229.05,NA,125.191270682197,276.419409720294,NA,14.4484750067464,59.0341954711245,NA,14.2579277741842,3.90744981492859,2.76072766692272,17.1817551471538,15.5153251985981,419.265071984641,68.2868459873039,10.7229747364407,3.8329887031886,1.24387989440487,1.0986514272479,126.40531468781,1408.32004713302,1248.5897764991,30.4957073858535,14.6613140024909,120.685053549714,28.5769795606534,162.185854108749,69.5249728752672,62.5968195852058,-6.94843260203117
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP2$PLOT1022$ROW14$RANGE33$PHP02 X PHK56,North Platte2,1022,Partial Irrigation,High,Partial,2,14,33,PHP02 X PHK56,Hybrid,2022-07-24,2022-07-26,,NA,110,270,NA,2022-10-28 05:00:00,22.990232,14.493999,58.754002,NA,13.1,4,15.2,2.5,18.1,430,127.9,yellow,N,29.2,16,NA,70.63,9.09,4.09,0.88,0.91,0.05,NA,NA,206.811665220746,28500,0,0,2022-05-17 05:00:00,57,17.5,68,70,134.631578947368,31.5789473684211,NA,NA,225,2,1377.81,1419.11,41.3000000000002,NA,117.932742743835,275.774639576423,NA,14.5583096458356,58.7500160108536,NA,14.3946813266198,4.10782359508177,2.55362707383851,20.1954934059575,16.2129366772264,471.516023957096,70.5941639247005,9.08132183096617,3.99562320057359,0.855972087826778,0.945723505339581,197.956056925863,1358.88215058059,1411.72059960488,32.4296067538203,15.9173132669628,147.81389621882,31.2419221185714,52.25910003499,67.2370991946285,69.6818108576289,2.43492797175353
