qr	loc	plot	field	nLvl	irrigation	rep	row	range	genotype	population	harvestDate	combineYield	combineMoisture	combineTestWt	harvestSeq	combineNotes
4265$ROW11$RANGE10$PHP02 X PHB47	Lincoln	4265	Hybrid HIPS	Medium	Dryland	2	11	10	PHP02 X PHB47	Hybrid	2022-10-10 12:11:18	3.21	12.2	62.4	314	NA
4266$ROW11$RANGE11$B73 X PHM49	Lincoln	4266	Hybrid HIPS	Medium	Dryland	2	11	11	B73 X PHM49	Hybrid	2022-10-10 13:16:13	1.63	13.1	61	371	NA
4267$ROW11$RANGE12$B73 X 3IIH6	Lincoln	4267	Hybrid HIPS	Medium	Dryland	2	11	12	B73 X 3IIH6	Hybrid	2022-10-10 13:21:55	3.73	12.9	61.7	390	NA
4268$ROW11$RANGE13$LH185 X W606S	Lincoln	4268	Hybrid HIPS	Medium	Dryland	2	11	13	LH185 X W606S	Hybrid	2022-10-10 13:40:49	6.42	12.4	62.3	447	NA
4269$ROW11$RANGE14$PHG39 X PHM49	Lincoln	4269	Hybrid HIPS	Medium	Dryland	2	11	14	PHG39 X PHM49	Hybrid	2022-10-10 13:47:20	7.92	12.9	61.7	466	NA
4270$ROW11$RANGE15$PHP02 X LH198	Lincoln	4270	Hybrid HIPS	Medium	Dryland	2	11	15	PHP02 X LH198	Hybrid	2022-10-10 14:03:31	8.25	12.6	62	523	NA
4171$ROW12$RANGE2$LH198 X PHZ51	Lincoln	4171	Hybrid HIPS	Medium	Dryland	1	12	2	LH198 X PHZ51	Hybrid	2022-10-10 09:55:18	6.33	14	62.2	11	NA
4172$ROW12$RANGE3$PHN46 X PHK56	Lincoln	4172	Hybrid HIPS	Medium	Dryland	1	12	3	PHN46 X PHK56	Hybrid	2022-10-10 10:24:24	2.5	13	62.6	66	NA
4173$ROW12$RANGE4$LH185 X LH82	Lincoln	4173	Hybrid HIPS	Medium	Dryland	1	12	4	LH185 X LH82	Hybrid	2022-10-10 10:32:20	6.28	13.2	62.5	87	NA
4174$ROW12$RANGE5$LH195 X PHZ51	Lincoln	4174	Hybrid HIPS	Medium	Dryland	1	12	5	LH195 X PHZ51	Hybrid	2022-10-10 10:54:04	7.2	13.9	61.8	142	NA
4175$ROW12$RANGE6$LH82 X PHJ89	Lincoln	4175	Hybrid HIPS	Medium	Dryland	1	12	6	LH82 X PHJ89	Hybrid	2022-10-10 11:04:35	6.43	12.9	62.5	163	NA
4176$ROW12$RANGE7$PHP02 X PHB47	Lincoln	4176	Hybrid HIPS	Medium	Dryland	1	12	7	PHP02 X PHB47	Hybrid	2022-10-10 11:30:09	4.07	12.5	62.6	218	NA
4177$ROW12$RANGE8$SYNGENTA NK0760-3111	Lincoln	4177	Hybrid HIPS	Medium	Dryland	1	12	8	SYNGENTA NK0760-3111	Hybrid	2022-10-10 11:41:27	8.91	12.4	62.9	239	NA
4271$ROW12$RANGE9$PHP02 X PHN46	Lincoln	4271	Hybrid HIPS	Medium	Dryland	2	12	9	PHP02 X PHN46	Hybrid	2022-10-10 12:02:46	5.44	12.6	62.7	294	NA
4272$ROW12$RANGE10$F42 X OH43	Lincoln	4272	Hybrid HIPS	Medium	Dryland	2	12	10	F42 X OH43	Hybrid	2022-10-10 12:11:37	4.76	12.4	62.3	315	NA
4273$ROW12$RANGE11$F42 X MO17	Lincoln	4273	Hybrid HIPS	Medium	Dryland	2	12	11	F42 X MO17	Hybrid	2022-10-10 13:15:55	4.87	12.5	62.4	370	NA
4274$ROW12$RANGE12$B37 X OH43	Lincoln	4274	Hybrid HIPS	Medium	Dryland	2	12	12	B37 X OH43	Hybrid	2022-10-10 13:22:12	3.87	12.8	62.1	391	NA
4275$ROW12$RANGE13$PHK56 X PHJ89	Lincoln	4275	Hybrid HIPS	Medium	Dryland	2	12	13	PHK56 X PHJ89	Hybrid	2022-10-10 13:40:29	4.86	13.3	61.5	446	NA
4276$ROW12$RANGE14$PHN46 X PHK56	Lincoln	4276	Hybrid HIPS	Medium	Dryland	2	12	14	PHN46 X PHK56	Hybrid	2022-10-10 13:47:39	4.13	12.3	61.9	467	NA
4277$ROW12$RANGE15$PHK76 X 3IIH6	Lincoln	4277	Hybrid HIPS	Medium	Dryland	2	12	15	PHK76 X 3IIH6	Hybrid	2022-10-10 14:03:13	5.6	12.7	61.9	522	NA
4178$ROW13$RANGE2$LH198 X PHB47	Lincoln	4178	Hybrid HIPS	Medium	Dryland	1	13	2	LH198 X PHB47	Hybrid	2022-10-10 09:55:44	6.01	14.2	62.1	12	NA
4179$ROW13$RANGE3$PHN46 X PHB47	Lincoln	4179	Hybrid HIPS	Medium	Dryland	1	13	3	PHN46 X PHB47	Hybrid	2022-10-10 10:23:58	3.96	13.5	62.2	65	NA
4180$ROW13$RANGE4$LH123HT X PHB47	Lincoln	4180	Hybrid HIPS	Medium	Dryland	1	13	4	LH123HT X PHB47	Hybrid	2022-10-10 10:32:42	2.14	12.9	62.7	88	NA
4181$ROW13$RANGE5$PHK56 X LH198	Lincoln	4181	Hybrid HIPS	Medium	Dryland	1	13	5	PHK56 X LH198	Hybrid	2022-10-10 10:53:40	6.79	13.1	62.3	141	NA
4182$ROW13$RANGE6$PHP02 X W606S	Lincoln	4182	Hybrid HIPS	Medium	Dryland	1	13	6	PHP02 X W606S	Hybrid	2022-10-10 11:04:58	3.81	12.6	62.7	164	NA
4183$ROW13$RANGE7$SYNGENTA NK0760-3111	Lincoln	4183	Hybrid HIPS	Medium	Dryland	1	13	7	SYNGENTA NK0760-3111	Hybrid	2022-10-10 11:29:50	9.58	12.4	62.7	217	NA
4184$ROW13$RANGE8$2369 X 3IIH6	Lincoln	4184	Hybrid HIPS	Medium	Dryland	1	13	8	2369 X 3IIH6	Hybrid	2022-10-10 11:41:52	7.05	13.3	61.9	240	NA
4278$ROW13$RANGE9$LH185 X LH82	Lincoln	4278	Hybrid HIPS	Medium	Dryland	2	13	9	LH185 X LH82	Hybrid	2022-10-10 12:02:23	8.65	13.6	61.9	293	NA
4279$ROW13$RANGE10$PHJ40 X LH82	Lincoln	4279	Hybrid HIPS	Medium	Dryland	2	13	10	PHJ40 X LH82	Hybrid	2022-10-10 12:11:58	8.51	12.7	62	316	NA
4280$ROW13$RANGE11$WF9 X H95	Lincoln	4280	Hybrid HIPS	Medium	Dryland	2	13	11	WF9 X H95	Hybrid	2022-10-10 13:15:36	3.63	13	61.8	369	NA
4281$ROW13$RANGE12$PHW52 X LH185	Lincoln	4281	Hybrid HIPS	Medium	Dryland	2	13	12	PHW52 X LH185	Hybrid	2022-10-10 13:22:46	15.69	12.2	62.5	392	NA
4282$ROW13$RANGE13$LH195 X PHZ51	Lincoln	4282	Hybrid HIPS	Medium	Dryland	2	13	13	LH195 X PHZ51	Hybrid	2022-10-10 13:40:11	5.52	13.7	61	445	NA
4283$ROW13$RANGE14$PHK76 X LH198	Lincoln	4283	Hybrid HIPS	Medium	Dryland	2	13	14	PHK76 X LH198	Hybrid	2022-10-10 13:47:58	6.25	12.6	62.1	468	NA
4284$ROW13$RANGE15$2369 X PHZ51	Lincoln	4284	Hybrid HIPS	Medium	Dryland	2	13	15	2369 X PHZ51	Hybrid	2022-10-10 14:02:55	9.29	12.5	62.1	521	NA
5101$ROW15$RANGE2$PHW52 X PHM49	Lincoln	5101	Hybrid HIPS	Low	Dryland	1	15	2	PHW52 X PHM49	Hybrid	2022-10-10 09:56:41	8.66	15	61.4	14	NA
5102$ROW15$RANGE3$2369 X PHZ51	Lincoln	5102	Hybrid HIPS	Low	Dryland	1	15	3	2369 X PHZ51	Hybrid	2022-10-10 10:23:13	5.19	13.9	62	63	NA
5103$ROW15$RANGE4$PHB47 X LH185	Lincoln	5103	Hybrid HIPS	Low	Dryland	1	15	4	PHB47 X LH185	Hybrid	2022-10-10 10:33:28	5.05	14.2	61.7	90	NA
5104$ROW15$RANGE5$PHK76 X LH198	Lincoln	5104	Hybrid HIPS	Low	Dryland	1	15	5	PHK76 X LH198	Hybrid	2022-10-10 10:52:50	6.58	13.2	62.3	139	NA
5105$ROW15$RANGE6$LH195 X 3IIH6	Lincoln	5105	Hybrid HIPS	Low	Dryland	1	15	6	LH195 X 3IIH6	Hybrid	2022-10-10 11:05:51	2.44	13.5	62	166	NA
5106$ROW15$RANGE7$SYNGENTA NK0760-3111	Lincoln	5106	Hybrid HIPS	Low	Dryland	1	15	7	SYNGENTA NK0760-3111	Hybrid	2022-10-10 11:29:10	10.94	13.2	61.9	215	NA
5107$ROW15$RANGE8$2369 X PHN82	Lincoln	5107	Hybrid HIPS	Low	Dryland	1	15	8	2369 X PHN82	Hybrid	2022-10-10 11:42:39	10.15	14.3	61.1	242	NA
5202$ROW15$RANGE10$PHW52 X PHZ51	Lincoln	5202	Hybrid HIPS	Low	Dryland	2	15	10	PHW52 X PHZ51	Hybrid	2022-10-10 12:12:40	7.52	12.7	62.1	318	NA
5203$ROW15$RANGE11$LH82 X W606S	Lincoln	5203	Hybrid HIPS	Low	Dryland	2	15	11	LH82 X W606S	Hybrid	2022-10-10 13:14:59	8.34	12.9	61.8	367	NA
5204$ROW15$RANGE12$PHP02 X LH198	Lincoln	5204	Hybrid HIPS	Low	Dryland	2	15	12	PHP02 X LH198	Hybrid	2022-10-10 13:23:27	1.07	9.81	63.6	394	NA
5205$ROW15$RANGE13$PHP02 X LH82	Lincoln	5205	Hybrid HIPS	Low	Dryland	2	15	13	PHP02 X LH82	Hybrid	2022-10-10 13:39:34	4.86	11.9	62.6	443	NA
5206$ROW15$RANGE14$PHK76 X LH82	Lincoln	5206	Hybrid HIPS	Low	Dryland	2	15	14	PHK76 X LH82	Hybrid	2022-10-10 13:48:31	6.67	13	61.4	470	NA
5207$ROW15$RANGE15$HOEGEMEYER 7089 AMXT	Lincoln	5207	Hybrid HIPS	Low	Dryland	2	15	15	HOEGEMEYER 7089 AMXT	Hybrid	2022-10-10 14:02:18	12.37	12.1	62.4	519	NA
5108$ROW16$RANGE2$PHP02 X PHN46	Lincoln	5108	Hybrid HIPS	Low	Dryland	1	16	2	PHP02 X PHN46	Hybrid	2022-10-10 09:57:02	7.35	13.7	62.2	15	NA
5109$ROW16$RANGE3$PHP02 X PHK56	Lincoln	5109	Hybrid HIPS	Low	Dryland	1	16	3	PHP02 X PHK56	Hybrid	2022-10-10 10:22:50	3.87	14.3	61.6	62	NA
5110$ROW16$RANGE4$PHB47 X PHK56	Lincoln	5110	Hybrid HIPS	Low	Dryland	1	16	4	PHB47 X PHK56	Hybrid	2022-10-10 10:33:52	7.38	14.1	61.8	91	NA
5111$ROW16$RANGE5$HOEGEMEYER 7089 AMXT	Lincoln	5111	Hybrid HIPS	Low	Dryland	1	16	5	HOEGEMEYER 7089 AMXT	Hybrid	2022-10-10 10:52:26	13.87	13.1	62.3	138	NA
5112$ROW16$RANGE6$LH195 X PHZ51	Lincoln	5112	Hybrid HIPS	Low	Dryland	1	16	6	LH195 X PHZ51	Hybrid	2022-10-10 11:06:15	4	14.1	61.7	167	NA
5113$ROW16$RANGE7$PHP02 X PHG47	Lincoln	5113	Hybrid HIPS	Low	Dryland	1	16	7	PHP02 X PHG47	Hybrid	2022-10-10 11:28:50	6.22	12.9	62.2	214	NA
5114$ROW16$RANGE8$PHK56 X LH198	Lincoln	5114	Hybrid HIPS	Low	Dryland	1	16	8	PHK56 X LH198	Hybrid	2022-10-10 11:43:03	6.29	13.3	61.9	243	NA
5208$ROW16$RANGE9$PHP02 X LH185	Lincoln	5208	Hybrid HIPS	Low	Dryland	2	16	9	PHP02 X LH185	Hybrid	2022-10-10 12:00:57	6.27	13.9	61.3	290	NA
5209$ROW16$RANGE10$PHP02 X PHK56	Lincoln	5209	Hybrid HIPS	Low	Dryland	2	16	10	PHP02 X PHK56	Hybrid	2022-10-10 12:13:00	3.9	12.5	62.2	319	NA
5210$ROW16$RANGE11$B37 X OH43	Lincoln	5210	Hybrid HIPS	Low	Dryland	2	16	11	B37 X OH43	Hybrid	2022-10-10 13:14:42	5.86	14.2	60.7	366	NA
5211$ROW16$RANGE12$B84 X 3IIH6	Lincoln	5211	Hybrid HIPS	Low	Dryland	2	16	12	B84 X 3IIH6	Hybrid	2022-10-10 13:23:51	8.42	12.3	62.4	395	NA
5212$ROW16$RANGE13$B105 X 3IIH6	Lincoln	5212	Hybrid HIPS	Low	Dryland	2	16	13	B105 X 3IIH6	Hybrid	2022-10-10 13:39:18	1.56	11.1	62.8	442	NA
5213$ROW16$RANGE14$SYNGENTA NK0760-3111	Lincoln	5213	Hybrid HIPS	Low	Dryland	2	16	14	SYNGENTA NK0760-3111	Hybrid	2022-10-10 13:48:49	12.99	13	61.4	471	NA
5115$ROW17$RANGE2$PHN46 X PHK56	Lincoln	5115	Hybrid HIPS	Low	Dryland	1	17	2	PHN46 X PHK56	Hybrid	2022-10-10 09:57:30	3.28	13.3	62.3	16	NA
5116$ROW17$RANGE3$B37 X H95	Lincoln	5116	Hybrid HIPS	Low	Dryland	1	17	3	B37 X H95	Hybrid	2022-10-10 10:22:28	2.1	14.1	61.7	61	NA
5117$ROW17$RANGE4$PHK56 X LH82	Lincoln	5117	Hybrid HIPS	Low	Dryland	1	17	4	PHK56 X LH82	Hybrid	2022-10-10 10:34:15	6.47	13.4	62.2	92	NA
5118$ROW17$RANGE5$HOEGEMEYER 8065RR	Lincoln	5118	Hybrid HIPS	Low	Dryland	1	17	5	HOEGEMEYER 8065RR	Hybrid	2022-10-10 10:52:02	9.85	14.1	61.4	137	NA
5119$ROW17$RANGE6$PHW52 X PHZ51	Lincoln	5119	Hybrid HIPS	Low	Dryland	1	17	6	PHW52 X PHZ51	Hybrid	2022-10-10 11:06:40	6.39	14.4	61.2	168	NA
5120$ROW17$RANGE7$LH82 X W606S	Lincoln	5120	Hybrid HIPS	Low	Dryland	1	17	7	LH82 X W606S	Hybrid	2022-10-10 11:28:31	9.44	13.4	61.9	213	NA
5121$ROW17$RANGE8$LH185 X LH82	Lincoln	5121	Hybrid HIPS	Low	Dryland	1	17	8	LH185 X LH82	Hybrid	2022-10-10 11:43:27	8.15	13.1	62.1	244	NA
5215$ROW17$RANGE9$PHP02 X PHB47	Lincoln	5215	Hybrid HIPS	Low	Dryland	2	17	9	PHP02 X PHB47	Hybrid	2022-10-10 12:00:36	3.05	13	62.2	289	NA
5216$ROW17$RANGE10$B37 X MO17	Lincoln	5216	Hybrid HIPS	Low	Dryland	2	17	10	B37 X MO17	Hybrid	2022-10-10 12:13:25	3.15	13.3	61.4	320	NA
5217$ROW17$RANGE11$LH185 X LH145	Lincoln	5217	Hybrid HIPS	Low	Dryland	2	17	11	LH185 X LH145	Hybrid	2022-10-10 13:14:23	7.23	13.1	61.6	365	NA
5218$ROW17$RANGE12$N209 X 3IIH6	Lincoln	5218	Hybrid HIPS	Low	Dryland	2	17	12	N209 X 3IIH6	Hybrid	2022-10-10 13:24:53	6.76	12.3	62.4	396	NA
5219$ROW17$RANGE13$PHP02 X LH145	Lincoln	5219	Hybrid HIPS	Low	Dryland	2	17	13	PHP02 X LH145	Hybrid	2022-10-10 13:39:02	6.29	12.2	62.4	441	NA
5221$ROW17$RANGE15$PHB47 X PHK56	Lincoln	5221	Hybrid HIPS	Low	Dryland	2	17	15	PHB47 X PHK56	Hybrid	2022-10-10 14:01:48	4.12	12.3	62.2	517	NA
5122$ROW18$RANGE2$PHW52 X LH185	Lincoln	5122	Hybrid HIPS	Low	Dryland	1	18	2	PHW52 X LH185	Hybrid	2022-10-10 09:57:59	3.29	14	62.1	17	NA
5123$ROW18$RANGE3$PHZ51 X LH145	Lincoln	5123	Hybrid HIPS	Low	Dryland	1	18	3	PHZ51 X LH145	Hybrid	2022-10-10 10:22:04	4.1	13.5	62.4	60	NA
5124$ROW18$RANGE4$LH74 X PHN82	Lincoln	5124	Hybrid HIPS	Low	Dryland	1	18	4	LH74 X PHN82	Hybrid	2022-10-10 10:34:40	4.89	13.6	62.3	93	NA
5125$ROW18$RANGE5$LH195 X PHM49	Lincoln	5125	Hybrid HIPS	Low	Dryland	1	18	5	LH195 X PHM49	Hybrid	2022-10-10 10:51:39	5.05	15.7	60.1	136	NA
5127$ROW18$RANGE7$PHW52 X PHN82	Lincoln	5127	Hybrid HIPS	Low	Dryland	1	18	7	PHW52 X PHN82	Hybrid	2022-10-10 11:28:12	14.48	14.8	60.7	212	NA
5128$ROW18$RANGE8$PHK76 X LH145	Lincoln	5128	Hybrid HIPS	Low	Dryland	1	18	8	PHK76 X LH145	Hybrid	2022-10-10 11:43:49	7.73	13	62.4	245	NA
5222$ROW18$RANGE9$PHP02 X PHN46	Lincoln	5222	Hybrid HIPS	Low	Dryland	2	18	9	PHP02 X PHN46	Hybrid	2022-10-10 12:00:12	2.83	12.8	62.3	288	NA
5223$ROW18$RANGE10$LH198 X PHZ51	Lincoln	5223	Hybrid HIPS	Low	Dryland	2	18	10	LH198 X PHZ51	Hybrid	2022-10-10 12:13:43	6.59	14.9	60.4	321	NA
5224$ROW18$RANGE11$PHK56 X LH185	Lincoln	5224	Hybrid HIPS	Low	Dryland	2	18	11	PHK56 X LH185	Hybrid	2022-10-10 13:14:04	2.9	13.2	61.5	364	NA
5225$ROW18$RANGE12$LH185 X LH82	Lincoln	5225	Hybrid HIPS	Low	Dryland	2	18	12	LH185 X LH82	Hybrid	2022-10-10 13:25:13	1.03	8.34	64.3	397	NA
5226$ROW18$RANGE13$2369 X LH123HT	Lincoln	5226	Hybrid HIPS	Low	Dryland	2	18	13	2369 X LH123HT	Hybrid	2022-10-10 13:38:44	0.61	5.83	64.8	440	NA
5228$ROW18$RANGE15$PHK56 X LH145	Lincoln	5228	Hybrid HIPS	Low	Dryland	2	18	15	PHK56 X LH145	Hybrid	2022-10-10 14:01:32	3.39	12.7	61.7	516	NA
5129$ROW19$RANGE2$2369 X 3IIH6	Lincoln	5129	Hybrid HIPS	Low	Dryland	1	19	2	2369 X 3IIH6	Hybrid	2022-10-10 09:58:25	3.02	13.3	62.5	18	NA
5130$ROW19$RANGE3$PHK76 X 3IIH6	Lincoln	5130	Hybrid HIPS	Low	Dryland	1	19	3	PHK76 X 3IIH6	Hybrid	2022-10-10 10:21:43	1.73	12.5	62.9	59	NA
5131$ROW19$RANGE4$F42 X MO17	Lincoln	5131	Hybrid HIPS	Low	Dryland	1	19	4	F42 X MO17	Hybrid	2022-10-10 10:35:01	2.98	13.3	62.5	94	NA
5132$ROW19$RANGE5$PHG39 X PHM49	Lincoln	5132	Hybrid HIPS	Low	Dryland	1	19	5	PHG39 X PHM49	Hybrid	2022-10-10 10:51:16	6.46	15.5	60.4	135	NA
5133$ROW19$RANGE6$N209 X 3IIH6	Lincoln	5133	Hybrid HIPS	Low	Dryland	1	19	6	N209 X 3IIH6	Hybrid	2022-10-10 11:07:30	5.17	13.1	62.2	170	NA
5134$ROW19$RANGE7$PHP02 X LH185	Lincoln	5134	Hybrid HIPS	Low	Dryland	1	19	7	PHP02 X LH185	Hybrid	2022-10-10 11:27:51	4.07	13.5	61.8	211	NA
5135$ROW19$RANGE8$PHJ40 X LH82	Lincoln	5135	Hybrid HIPS	Low	Dryland	1	19	8	PHJ40 X LH82	Hybrid	2022-10-10 11:44:11	10.4	12.8	62.5	246	NA
5229$ROW19$RANGE9$PHN46 X PHK56	Lincoln	5229	Hybrid HIPS	Low	Dryland	2	19	9	PHN46 X PHK56	Hybrid	2022-10-10 11:59:53	6.37	14.6	60.7	287	NA
5230$ROW19$RANGE10$PIONEER P0589 AMXT	Lincoln	5230	Hybrid HIPS	Low	Dryland	2	19	10	PIONEER P0589 AMXT	Hybrid	2022-10-10 12:13:59	12.27	12.9	61.9	322	NA
5231$ROW19$RANGE11$PHK56 X 3IIH6	Lincoln	5231	Hybrid HIPS	Low	Dryland	2	19	11	PHK56 X 3IIH6	Hybrid	2022-10-10 13:13:45	2.95	12.2	62.4	363	NA
5232$ROW19$RANGE12$LH123HT X PHB47	Lincoln	5232	Hybrid HIPS	Low	Dryland	2	19	12	LH123HT X PHB47	Hybrid	2022-10-10 13:25:30	0.79	7.62	64.5	398	NA
5233$ROW19$RANGE13$LH145 X LH162	Lincoln	5233	Hybrid HIPS	Low	Dryland	2	19	13	LH145 X LH162	Hybrid	2022-10-10 13:38:27	4.73	12.5	62.2	439	NA
5234$ROW19$RANGE14$LH74 X PHN82	Lincoln	5234	Hybrid HIPS	Low	Dryland	2	19	14	LH74 X PHN82	Hybrid	2022-10-10 13:49:44	4.57	12.3	62.1	474	NA
5235$ROW19$RANGE15$PHG39 X PHN82	Lincoln	5235	Hybrid HIPS	Low	Dryland	2	19	15	PHG39 X PHN82	Hybrid	2022-10-10 14:01:19	6.63	12.7	62.1	515	NA
5136$ROW20$RANGE2$PHB47 X 3IIH6	Lincoln	5136	Hybrid HIPS	Low	Dryland	1	20	2	PHB47 X 3IIH6	Hybrid	2022-10-10 09:58:46	1.25	11.8	63.4	19	NA
5137$ROW20$RANGE3$PHT69 X 3IIH6	Lincoln	5137	Hybrid HIPS	Low	Dryland	1	20	3	PHT69 X 3IIH6	Hybrid	2022-10-10 10:21:26	4.33	13.2	62.5	58	NA
5138$ROW20$RANGE4$PHN46 X PHB47	Lincoln	5138	Hybrid HIPS	Low	Dryland	1	20	4	PHN46 X PHB47	Hybrid	2022-10-10 10:35:22	4.31	13.5	62.3	95	NA
5139$ROW20$RANGE5$PHP02 X W606S	Lincoln	5139	Hybrid HIPS	Low	Dryland	1	20	5	PHP02 X W606S	Hybrid	2022-10-10 10:50:53	6.5	13	62.5	134	NA
5140$ROW20$RANGE6$2369 X PHP02	Lincoln	5140	Hybrid HIPS	Low	Dryland	1	20	6	2369 X PHP02	Hybrid	2022-10-10 11:08:00	5.45	12.6	62.8	171	NA
5142$ROW20$RANGE8$B73 X PHN82	Lincoln	5142	Hybrid HIPS	Low	Dryland	1	20	8	B73 X PHN82	Hybrid	2022-10-10 11:44:32	4.62	14	61.4	247	NA
5236$ROW20$RANGE9$LH195 X PHM49	Lincoln	5236	Hybrid HIPS	Low	Dryland	2	20	9	LH195 X PHM49	Hybrid	2022-10-10 11:59:32	3.34	16.1	59.7	286	NA
5237$ROW20$RANGE10$B14A X MO17	Lincoln	5237	Hybrid HIPS	Low	Dryland	2	20	10	B14A X MO17	Hybrid	2022-10-10 12:14:18	5.67	12.6	62.1	323	NA
5238$ROW20$RANGE11$WF9 X H95	Lincoln	5238	Hybrid HIPS	Low	Dryland	2	20	11	WF9 X H95	Hybrid	2022-10-10 13:13:27	2.25	12.1	62.6	362	NA
5239$ROW20$RANGE12$PHN46 X W606S	Lincoln	5239	Hybrid HIPS	Low	Dryland	2	20	12	PHN46 X W606S	Hybrid	2022-10-10 13:25:49	2.3	12	62.6	399	NA
5240$ROW20$RANGE13$PHK76 X 3IIH6	Lincoln	5240	Hybrid HIPS	Low	Dryland	2	20	13	PHK76 X 3IIH6	Hybrid	2022-10-10 13:38:09	2.3	11.9	62.6	438	NA
5242$ROW20$RANGE15$LH185 X W606S	Lincoln	5242	Hybrid HIPS	Low	Dryland	2	20	15	LH185 X W606S	Hybrid	2022-10-10 14:01:04	2.36	11.4	62.8	514	NA
5143$ROW21$RANGE2$LH198 X PHZ51	Lincoln	5143	Hybrid HIPS	Low	Dryland	1	21	2	LH198 X PHZ51	Hybrid	2022-10-10 09:59:11	3.61	14.4	61.8	20	NA
5144$ROW21$RANGE3$2FACC X 3IIH6	Lincoln	5144	Hybrid HIPS	Low	Dryland	1	21	3	2FACC X 3IIH6	Hybrid	2022-10-10 10:21:04	1.26	11.4	63.6	57	NA
5145$ROW21$RANGE4$B73 X PHM49	Lincoln	5145	Hybrid HIPS	Low	Dryland	1	21	4	B73 X PHM49	Hybrid	2022-10-10 10:35:52	2.16	14.2	61.5	96	NA
5146$ROW21$RANGE5$LH82 X PHJ89	Lincoln	5146	Hybrid HIPS	Low	Dryland	1	21	5	LH82 X PHJ89	Hybrid	2022-10-10 10:50:30	6.88	13.2	62.4	133	NA
5147$ROW21$RANGE6$B73 X PHZ51	Lincoln	5147	Hybrid HIPS	Low	Dryland	1	21	6	B73 X PHZ51	Hybrid	2022-10-10 11:08:23	3.62	14	61.4	172	NA
5148$ROW21$RANGE7$PHP02 X LH198	Lincoln	5148	Hybrid HIPS	Low	Dryland	1	21	7	PHP02 X LH198	Hybrid	2022-10-10 11:27:14	4.41	13.6	62	209	NA
5149$ROW21$RANGE8$PHK56 X PHJ89	Lincoln	5149	Hybrid HIPS	Low	Dryland	1	21	8	PHK56 X PHJ89	Hybrid	2022-10-10 11:44:54	2.31	14.5	61	248	NA
5243$ROW21$RANGE9$PHK76 X LH145	Lincoln	5243	Hybrid HIPS	Low	Dryland	2	21	9	PHK76 X LH145	Hybrid	2022-10-10 11:59:13	6.52	13.2	62.2	285	NA
5244$ROW21$RANGE10$PHW52 X PHN82	Lincoln	5244	Hybrid HIPS	Low	Dryland	2	21	10	PHW52 X PHN82	Hybrid	2022-10-10 12:14:37	7.19	12.7	62.1	324	NA
5245$ROW21$RANGE11$B73 X MO17	Lincoln	5245	Hybrid HIPS	Low	Dryland	2	21	11	B73 X MO17	Hybrid	2022-10-10 13:13:08	3.07	12.6	62.2	361	NA
5246$ROW21$RANGE12$2369 X PHZ51	Lincoln	5246	Hybrid HIPS	Low	Dryland	2	21	12	2369 X PHZ51	Hybrid	2022-10-10 13:26:05	4.65	12.3	62.5	400	NA
5247$ROW21$RANGE13$PHJ40 X LH82	Lincoln	5247	Hybrid HIPS	Low	Dryland	2	21	13	PHJ40 X LH82	Hybrid	2022-10-10 13:37:52	7.49	12.1	62.5	437	NA
5248$ROW21$RANGE14$B73 X PHN82	Lincoln	5248	Hybrid HIPS	Low	Dryland	2	21	14	B73 X PHN82	Hybrid	2022-10-10 13:50:20	2.23	13.5	60.9	476	NA
5151$ROW22$RANGE3$PHP02 X PHB47	Lincoln	5151	Hybrid HIPS	Low	Dryland	1	22	3	PHP02 X PHB47	Hybrid	2022-10-10 10:20:25	1.89	12.8	62.6	56	NA
5152$ROW22$RANGE4$B14A X MO17	Lincoln	5152	Hybrid HIPS	Low	Dryland	1	22	4	B14A X MO17	Hybrid	2022-10-10 10:36:13	3.54	14.1	61.9	97	NA
5153$ROW22$RANGE5$B37 X MO17	Lincoln	5153	Hybrid HIPS	Low	Dryland	1	22	5	B37 X MO17	Hybrid	2022-10-10 10:50:06	3.52	14	61.9	132	NA
5154$ROW22$RANGE6$B73 X 3IIH6	Lincoln	5154	Hybrid HIPS	Low	Dryland	1	22	6	B73 X 3IIH6	Hybrid	2022-10-10 11:08:49	0.72	8.76	64.2	173	NA
5155$ROW22$RANGE7$LH195 X LH185	Lincoln	5155	Hybrid HIPS	Low	Dryland	1	22	7	LH195 X LH185	Hybrid	2022-10-10 11:26:54	4.65	13.2	62.3	208	NA
5156$ROW22$RANGE8$SYNGENTA NK0760-3111	Lincoln	5156	Hybrid HIPS	Low	Dryland	1	22	8	SYNGENTA NK0760-3111	Hybrid	2022-10-10 11:45:18	9.78	12.6	62.5	249	NA
5250$ROW22$RANGE9$PHK56 X LH198	Lincoln	5250	Hybrid HIPS	Low	Dryland	2	22	9	PHK56 X LH198	Hybrid	2022-10-10 11:58:52	5.56	13.1	62.3	284	NA
5251$ROW22$RANGE10$PHB47 X LH185	Lincoln	5251	Hybrid HIPS	Low	Dryland	2	22	10	PHB47 X LH185	Hybrid	2022-10-10 12:15:05	5.31	13	61.7	325	NA
5252$ROW22$RANGE11$LH74 X PHM49	Lincoln	5252	Hybrid HIPS	Low	Dryland	2	22	11	LH74 X PHM49	Hybrid	2022-10-10 13:12:49	3.46	12.7	62.3	360	NA
