qrCode,year,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,row,range,plotNumber,genotype,pedigreeID,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,harvestDate,notes
22-A-1594866,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,33,2,55,49,1594866,LH146HT,1715622,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,63,138,7279,11.096,NA,3,2.156,NA,13.2,112,19.196,12.54,8.96,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;x - collect data; but alyze team may need to assess photos;;;
22-A-1594867,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,34,2,58,53,1594867,LH60,1715496,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,74,141,7500,9.832,NA,3.079,2.378,NA,13.2,92,23.433,9.85,11.65,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;;;
22-A-1594868,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,29,2,55,46,1594868,NS701,1715683,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,73,133,6397,11.91,NA,3.811,2.175,NA,13.7,240,26.388,54.3,8.9,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594869,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,29,2,48,51,1594869,FBHJ,1715682,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,65,169,6397,10.535,NA,2.756,1.631,NA,9.2,94,24.091,16.9,5.6,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;x -set asside;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;;
22-A-1594870,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,35,2,54,48,1594870,PB80,1715606,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,70,137,7721,NA,NA,3.399,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;Seed missing on either side of ear at widest point;x - collect data; but alyze team may need to assess photos;;
22-A-1594871,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,25,2,47,45,1594871,PHW65,1715644,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,63,136,5515,15.66,NA,4.57,2.664,NA,17.2,376,29.568,86.03,25.175,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;;;;;;
22-A-1594872,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,28,2,57,52,1594872,S8326,1715495,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,82,151,6176,15.89,NA,3.701,2.112,NA,13.7,366,26.884,83.36,14.94,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;;;;;;;;
22-A-1594873,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,22,2,52,47,1594873,CR14,1715670,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,61,145,4853,11.588,NA,3.906,2.188,NA,15.3,180,22.778,25,16,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;x -set asside;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;;
22-A-1594874,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,27,2,55,47,1594874,E8501,1715684,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,57,148,5956,12.658,NA,3.582,2.26,NA,13,162,19.259,17.2,14,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;x - collect data; but alyze team may need to assess photos;;
22-A-1594875,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,26,2,49,47,1594875,GA209,1715490,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,56,98,5735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;x -set asside;;
22-A-1594876,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,31,2,57,49,1594876,B2,1715635,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,63,97,6838,10.122,NA,2.534,1.577,NA,9,47,20.106,3.55,5.85,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x -set asside;;
22-A-1594877,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,32,2,57,48,1594877,CML154Q,1715654,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,75,123,7059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;x -set asside;x -set asside;x -set asside;x -set asside;x -set asside;x -set asside;;
22-A-1594878,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,30,2,59,47,1594878,M162W,1715650,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,78,135,6618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;x -set asside;x -set asside;;
22-A-1594879,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,28,2,49,45,1594879,NC338,1715470,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,97,137,6176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;x -set asside;x -set asside;;
22-A-1594880,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,22,2,50,46,1594880,NC344,1715488,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,57,106,4853,12.6,NA,3.914,2.685,NA,14.7,233,18.133,25.1,17.1,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;x -set asside;x -set asside;x -set asside;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594881,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,34,2,57,46,1594881,TZI10,1715464,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,45,92,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;x -set asside;x -set asside;x -set asside;x -set asside;;
22-A-1594882,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,35,2,56,47,1594882,PA880,1715677,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,60,112,7721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;x -set asside;;
22-A-1594883,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,30,2,57,50,1594883,HI27,1715460,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,58,97,6618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;
22-A-1594884,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,29,2,49,48,1594884,CML264,1715458,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,6397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;
22-A-1594885,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,23,2,48,53,1594885,BLACK JEWELL 85,1715640,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,82,119,5074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;
22-A-1594886,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,29,2,50,54,1594886,MB,1715663,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,59,154,6397,13.131,NA,4.073,2.477,NA,12.3,256,24.848,47.3,16.4,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;;;;;;x - collect data; but alyze team may need to assess photos;;
22-A-1594887,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,13,2,47,53,1594887,PHG84,1715480,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,40,139,2868,15.516,NA,4.154,2.742,NA,15,192,29.618,24.27,32.633,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;x -set asside;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x -set asside;x - collect data; but alyze team may need to assess photos;;
22-A-1594888,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,25,2,58,48,1594888,N7A,1715485,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,74,136,5515,11.925,NA,3.053,2.516,NA,13.3,42,20.81,-8.1,16.8,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594889,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,33,2,50,48,1594889,WF9,1715498,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,56,99,7279,19.997,NA,4.144,2.925,NA,16,368,30.299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;x -set asside;x -set asside;x -set asside;;x - collect data; but alyze team may need to assess photos;;
22-A-1594890,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,19,2,48,46,1594890,CML328,1715621,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,114,168,4191,NA,NA,3.767,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;x -set asside;x -set asside;x -set asside;x -set asside;x -set asside;x - collect data; but alyze team may need to assess photos;;
22-A-1594891,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,27,2,51,50,1594891,I137TN,1715459,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,68,112,5956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;x -set asside;x -set asside;x -set asside;x -set asside;x -set asside;;
22-A-1594892,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,33,2,50,52,1594892,NC306,1715476,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,83,164,7279,10.869,NA,3.45,2.267,NA,11.8,163,13.782,10.08,12.42,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594893,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,32,2,47,50,1594893,NC324,NA,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,52,109,7059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;x -set asside;;
22-A-1594894,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,32,2,55,50,1594894,NC348,1715605,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,75,120,7059,11.028,NA,2.631,2.151,NA,10,82,14.833,2.48,9.725,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594895,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,34,2,48,50,1594895,NC368,1715615,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,73,143,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;x -set asside;x -set asside;x -set asside;x -set asside;x -set asside;x -set asside;;
22-A-1594896,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,28,2,56,44,1594896,NC298,1715489,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,84,113,6176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;x -set asside;x -set asside;;
22-A-1594897,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,28,2,51,49,1594897,R177,1715659,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,52,150,6176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;x -set asside;x -set asside;x -set asside;x -set asside;x -set asside;x -set asside;;
22-A-1594898,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,30,2,52,48,1594898,B52,1715462,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,63,111,6618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;
22-A-1594899,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,33,2,59,49,1594899,B37,1715656,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,7279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;
22-A-1594900,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,25,2,52,49,1594900,MO46,1715612,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,5515,NA,NA,3.474,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;x -set asside;x - collect data; but alyze team may need to assess photos;;
22-A-1594901,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,30,2,53,44,1594901,LH39,1715641,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,54,113,6618,12.641,NA,3.454,2.383,NA,14.2,187,16.195,16.3,14,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x -set asside;;
22-A-1594902,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,25,2,59,51,1594902,PHZ51,1715675,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,5515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;
22-A-1594903,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,32,2,49,46,1594903,B73,1715457,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,87,152,7059,11.3,NA,4.055,2.634,NA,16.4,143,25.709,17.9,18.8,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,Check;;;;;;x -set asside;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;;
22-A-1594904,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,31,2,58,50,1594904,B73,1715457,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,80,138,6838,11.207,NA,3.297,2.386,NA,15,26,19.615,-9.7,14.8,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,Check;;;x - collect data; but alyze team may need to assess photos;;;
22-A-1594905,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,35,2,56,50,1594905,B73,1715457,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,85,150,7721,9.32,NA,3.317,2.566,NA,16,47,19.574,-2.1,11.3,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,Check;;;;;;
22-A-1594906,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,24,2,54,47,1594906,B73,1715457,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,77,125,5294,9.316,NA,3.374,2.481,NA,15.7,60,17.521,1.45,9.15,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,Check;;;;x -set asside;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594907,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,35,2,53,48,1594907,B73,1715457,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,90,159,7721,12.496,NA,4.158,2.692,NA,16.5,193,24.974,25.7,22.5,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,Check;;;x -set asside;x -set asside;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594908,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,25,2,50,53,1594908,B73,1715457,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,83,168,5515,12.741,NA,4.349,2.72,NA,16.5,336,21.16,49.56,21.54,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,Check;x - seed spilled during counting; re-started the counting so AKW would be accurate;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;;x - collect data; but alyze team may need to assess photos;;
22-A-1594909,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,34,2,54,53,1594909,B73,1715457,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,93,171,7500,11.598,NA,4.053,2.652,NA,15.5,196,23.984,29.8,17.2,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,Check;;;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594910,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,30,2,56,45,1594910,B73,1715457,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,77,128,6618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,Check;x -set asside;;
22-A-1594911,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,29,2,52,44,1594911,B73,1715457,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,74,157,6397,10.309,NA,3.729,2.347,NA,15.7,102,17.969,4.28,14.12,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,Check;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594912,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,32,2,53,51,1594912,B73,1715457,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,91,174,7059,13.043,NA,4.3,2.718,NA,16.2,248,25.105,39.88,22.42,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,Check;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594913,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,29,2,57,53,1594913,B73,1715457,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,81,156,6397,7.899,NA,3.528,2.323,NA,15,49,21.429,2.3,8.2,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,Check;;;x - collect data; but alyze team may need to assess photos;;x -set asside;x -set asside;;
22-A-1594914,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,36,2,49,50,1594914,B73,1715457,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,61,137,7941,NA,NA,4.217,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,Check;;;x -set asside;x -set asside;;
22-A-1594915,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,26,2,50,47,1594915,B73,1715457,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,81,143,5735,11.571,NA,4.071,2.529,NA,17.2,161,23.701,22.28,15.825,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,Check;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x -set asside;x - collect data; but alyze team may need to assess photos;;
22-A-1594916,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,32,2,49,51,1594916,B73,1715457,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,92,165,7059,12.456,NA,4.248,2.644,NA,15.7,233,25.708,38.94,20.96,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,Check;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594917,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,27,2,58,54,1594917,33-16,1716093,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,47,117,5956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;x -set asside;;
22-A-1594918,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,34,2,48,55,1594918,NC320,1716215,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,98,166,7500,11.434,NA,4.074,2.326,NA,13.3,273,23.082,52.54,10.56,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;;
22-A-1594919,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,31,2,53,57,1594919,SC357,1716203,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,106,167,6838,14.9,NA,4.256,2.71,NA,15,396,25.54,73.78,27.32,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;;;;;;x - collect data; but alyze team may need to assess photos;;
22-A-1594920,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,23,2,57,55,1594920,TZI16,1716215,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,75,147,5074,8.808,NA,2.946,2.222,NA,14.5,61,16.648,1.1,9,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;Cob broke in pieces;Cob broke in pieces;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x -set asside;;
22-A-1594921,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,31,2,47,56,1594921,LH208,1716215,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,88,170,6838,17.681,NA,4.185,2.382,NA,14.7,409,27.356,86.82,25.08,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;;
22-A-1594922,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,25,2,53,56,1594922,MO24W,1716215,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,97,161,5515,15.617,NA,3.822,2.967,NA,14,224,20.537,12.27,33.633,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594923,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,28,2,49,57,1594923,OH7B,1716215,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,90,185,6176,16.01,NA,2.952,1.963,NA,13.8,198,22.896,32,13.3,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;x - collect data; but alyze team may need to assess photos;x -set asside;;x - collect data; but alyze team may need to assess photos;x -set asside;x - collect data; but alyze team may need to assess photos;;
22-A-1594924,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,32,2,52,55,1594924,R168,1716215,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,92,151,7059,15.272,NA,4.047,2.512,NA,17.7,412,23.801,78.1,20,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;x - collect data; but alyze team may need to assess photos;;;;;;;
22-A-1594925,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,31,2,50,56,1594925,CI3A,1716201,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,84,142,6838,7.347,NA,3.876,2.554,NA,15,116,20.796,15.68,8.525,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;;
22-A-1594926,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,34,2,47,55,1594926,B73HTRHM,1716091,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,89,169,7500,16.437,NA,4.548,2.705,NA,16.7,512,28.746,119.5,27.7,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;;;
22-A-1594927,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,26,2,48,56,1594927,CML108,1716215,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,75,143,5735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;x -set asside;x -set asside;x -set asside;x -set asside;x -set asside;x -set asside;;
22-A-1594928,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,34,2,57,54,1594928,NC356,1716215,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,7500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;
22-A-1594929,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,26,2,51,56,1594929,MO44,1716215,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,65,152,5735,10.463,NA,2.955,2.342,NA,14,80,22.375,5,12.9,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;x -set asside;x -set asside;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594930,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,26,2,49,56,1594930,K4,1716100,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,88,162,5735,NA,NA,3.302,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;x -set asside;x -set asside;x -set asside;x -set asside;x -set asside;x - collect data; but alyze team may need to assess photos;;
