qr	loc	plot	field	nLvl	irrigation	rep	row	range	genotype	population	anthesisDate	silkDate	notes	leafDimHtNotes	leafDimHtDate	earHt	flagLeafHt	tasselTipHt	harvestDate	combineYield	combineMoisture	combineTestWt	harvestSeq	combineNotes	earFillLen	earWidth	shelledCobLen	shelledCobWidth	shelledCobWt	kernelsPerEar	kernelMass	kernelColor	kernelStriping	kernelsPerRow	kernelRows	hundredKernelWt	moistureCorrectedStarch	moistureCorrectedProtein	moistureCorrectedOil	moistureCorrectedFiber	moistureCorrectedAsh	pctMoistureNIR	latitude	longitude	yieldPerAc	plantDensity	pctRootLodge	pctStalkLodge	plantDate	totalStandCt	block	plotLen	daysToAnthesis	daysToSilk	moistureCorrectedKernelMass	moistureCorrectedHundredKernelWt	earLen	earWt	lbsNPerAc	ASI
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP1$PLOT1225$ROW15$RANGE7$F42 X MO17	Scottsbluff	1275	Hybrid HIPS	Medium	Full	1	15	7	LH195 X LH185	Hybrid	2022-08-08	2022-08-12	NA	NA	NA	78.74	182.88	236.22	2022-11-09 15:13:46	29.33	20.5	52.1	289	NA	14.6	4	15.1	2.2	16.8	492.8	119	yellow	N	34.8	15.8	NA	70.71	7.19	3.54	1.79	1.32	0.08	NA	NA	190.796236686391	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	81	85	129.347826086957	27.3913043478261	NA	NA	150	4
SCOTTSBLUFF$HYBRID-HIPS - LOW NITROGEN$REP1$PLOT1077$ROW23$RANGE4$PHP02 X LH198	Scottsbluff	1417	Hybrid HIPS	High	Full	1	23	4	B84 X 3IIH6	Hybrid	2022-08-02	2022-08-05	NA	NA	NA	104.14	185.42	241.3	2022-11-10 11:55:26	24.28	16.3	54.3	437	NA	16.4	5	18	3	28.1	577.2	166.9	yellow	N	35.5	19	NA	71.66	6.85	4.44	1.95	1.54	0.08	NA	NA	166.289471513102	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	75	78	181.413043478261	31.8478260869565	NA	NA	225	3
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP1$PLOT1224$ROW15$RANGE6$PHP02 X LH185	Scottsbluff	1274	Hybrid HIPS	Medium	Full	1	15	6	4N506 X 3IIH6	Hybrid	2022-07-29	2022-08-03	NA	NA	NA	114.3	208.28	261.62	2022-11-09 15:14:25	22.51	14.8	55.4	290	NA	14.8	3.6	17.4	2.1	19.5	549.8	148.8	yellow	N	32.2	17.5	NA	69.58	6	4.64	1.57	1.49	0.08	NA	NA	156.929901606086	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	71	76	161.739130434783	29.7826086956522	NA	NA	150	5
SCOTTSBLUFF$HYBRID-HIPS - LOW NITROGEN$REP1$PLOT1076$ROW23$RANGE3$B37 X OH43	Scottsbluff	1416	Hybrid HIPS	High	Full	1	23	3	PHW52 X PHM49	Hybrid	2022-08-04	2022-08-08	NA	NA	NA	76.2	187.96	228.6	2022-11-10 11:56:02	22.9	21.9	51.5	438	NA	17.8	4.8	20.1	2.9	25.4	594	181.8	yellow	Y	44.5	14.5	NA	72.02	7.98	3.86	0.82	1.22	0.08	NA	NA	146.344743871513	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	77	81	197.608695652174	33.5869565217391	NA	NA	225	4
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP1$PLOT1227$ROW15$RANGE9$PHP02 X LH198	Scottsbluff	1277	Hybrid HIPS	Medium	Full	1	15	9	LH198 X PHB47	Hybrid	2022-08-06	2022-08-10	NA	NA	NA	73.66	162.56	205.74	2022-11-09 15:12:29	24.59	19.8	55.8	287	NA	12.5	4	14.4	2.5	21.1	397.8	123.3	yellow	N	30.2	13.5	NA	70	8.82	3.63	1.53	1.27	0.09	NA	NA	161.370264074387	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	79	83	135.494505494505	34.6153846153846	NA	NA	150	4
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP1$PLOT1229$ROW15$RANGE11$PHB47 X 3IIH6	Scottsbluff	1279	Hybrid HIPS	Medium	Full	1	15	11	PHK56 X W606S	Hybrid	2022-08-03	2022-08-07	NA	NA	NA	78.74	177.8	223.52	2022-11-09 15:11:24	26.71	17.4	56.6	285	NA	16.5	4.4	17.5	2.5	20.2	535.2	167.9	yellow	N	39.8	15	NA	67.76	8.04	3.74	1.68	1.39	0.08	NA	NA	180.527990532544	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	76	80	182.5	33.695652173913	NA	NA	150	4
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP1$PLOT1179$ROW17$RANGE11$2369 X PHZ51	Scottsbluff	1329	Hybrid HIPS	Medium	Full	1	17	11	SYNGENTA NK0760-3111	Hybrid	2022-08-01	2022-08-03	NA	NA	NA	88.9	182.88	223.52	2022-11-10 10:40:08	34.79	19.5	55	330	NA	16.1	4.6	17.9	2.6	26.1	498.8	152.4	yellow	N	35.8	16.5	NA	70.09	8.4	3.95	2.73	1.72	0.09	NA	NA	229.161112426035	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	74	76	167.472527472527	34.7252747252747	NA	NA	150	2
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP1$PLOT1230$ROW15$RANGE12$PHP02 X PHN46	Scottsbluff	1280	Hybrid HIPS	Medium	Full	1	15	12	PHP02 X PHK56	Hybrid	2022-07-28	2022-08-01	NA	NA	NA	76.2	167.64	213.36	2022-11-09 15:10:43	25.17	18.8	54.1	284	NA	17.5	4.1	20.8	2.8	27.6	643.2	151.4	yellow	N	39.2	16.5	NA	70.27	8.88	4.07	1.57	1.37	0.08	NA	NA	167.236033136095	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	70	74	164.565217391304	26.4130434782609	NA	NA	150	4
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP2$PLOT1258$ROW14$RANGE15$B73 X PHN82	Scottsbluff	1258	Hybrid HIPS	Medium	Full	2	14	15	B73 X PHN82	Hybrid	2022-08-08	2022-08-12	NA	NA	NA	76.2	172.72	223.52	2022-11-09 14:54:27	28.42	20.8	56.6	256	NA	15.2	4.2	16.9	3	26.2	578.8	127.9	yellow	N	37.5	15.5	NA	70.64	8.77	3.49	1.59	1.33	0.09	NA	NA	184.17889704142	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	81	85	140.549450549451	22.7472527472527	NA	NA	150	4
SCOTTSBLUFF$HYBRID-HIPS - LOW NITROGEN$REP2$PLOT1123$ROW22$RANGE25$2369 X PHP02	Scottsbluff	1413	Hybrid HIPS	High	Full	2	22	25	LH195 X PHM49	Hybrid	2022-08-03	2022-08-07	NA	NA	NA	91.44	198.12	241.3	2022-11-10 11:37:58	23.29	20.2	53.7	411	NA	16.4	4.4	17.8	2.8	26.3	494.2	135.5	yellow	N	39.2	13	NA	70.72	8.76	3.71	1.45	1.36	0.1	NA	NA	152.076809467456	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	76	80	150.555555555556	30.6666666666667	NA	NA	225	4
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP1$PLOT1175$ROW17$RANGE7$2369 X PHN82	Scottsbluff	1325	Hybrid HIPS	Medium	Full	1	17	7	SYNGENTA NK0760-3111	Hybrid	2022-07-31	2022-08-03	NA	NA	NA	91.44	190.5	243.84	2022-11-10 10:42:55	32.42	19.5	52.8	334	NA	18	4.5	18.2	2.9	22.8	581.8	162.5	yellow	N	41.2	15	NA	71.03	7.14	3.65	2.57	1.58	0.08	NA	NA	213.549964497041	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	73	76	176.630434782609	29.5652173913043	NA	NA	150	3
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP1$PLOT1173$ROW17$RANGE5$HOEGEMEYER 8065RR	Scottsbluff	1323	Hybrid HIPS	Medium	Full	1	17	5	LH195 X PHZ51	Hybrid	2022-08-02	2022-08-04	NA	NA	NA	91.44	205.74	248.92	2022-11-10 10:44:07	22.73	21.4	56.1	336	NA	16.8	4.4	17.9	3	28.8	491.5	144.9	yellow	N	36.8	13.5	NA	71.77	8.38	4.85	1.2	1.33	0.08	NA	NA	146.188292814877	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	75	77	157.5	30.9782608695652	NA	NA	150	2
SCOTTSBLUFF$HYBRID-HIPS - LOW NITROGEN$REP1$PLOT1078$ROW23$RANGE5$B73 X PHM49	Scottsbluff	1418	Hybrid HIPS	High	Full	1	23	5	LH145 X LH162	Hybrid	2022-08-02	2022-08-05	NA	NA	NA	93.98	172.72	226.06	2022-11-10 11:54:54	21.47	14.8	62.4	436	NA	14.9	4.1	15.8	2.5	16	467.2	108.4	yellow	N	37	14.5	NA	71.92	6.83	3.71	0.85	1.14	0.08	NA	NA	149.67947523246	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	75	78	117.826086956522	25.3260869565217	NA	NA	225	3
SCOTTSBLUFF$HYBRID-HIPS - LOW NITROGEN$REP1$PLOT1079$ROW23$RANGE6$PHK56 X LH185	Scottsbluff	1419	Hybrid HIPS	High	Full	1	23	6	N209 X 3IIH6	Hybrid	2022-08-02	2022-08-05	NA	NA	NA	101.6	185.42	241.3	2022-11-10 11:54:19	24.59	15.4	52.8	435	NA	17.5	5.2	17.8	3.1	28.1	636.5	205.4	yellow	N	38	18.5	NA	71.78	7.59	3.86	2.33	1.62	0.08	NA	NA	170.223495519865	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	75	78	223.260869565217	35.3260869565217	NA	NA	225	3
SCOTTSBLUFF$HYBRID-HIPS - LOW NITROGEN$REP2$PLOT1122$ROW22$RANGE24$4N506 X 3IIH6	Scottsbluff	1412	Hybrid HIPS	High	Full	2	22	24	B37 X OH43	Hybrid	2022-08-02	2022-08-07	NA	NA	NA	83.82	220.98	256.54	2022-11-10 11:37:19	22.47	23	52	410	NA	13.8	4.6	15.5	3.1	26	488.2	129.3	yellow	N	33	16.5	NA	69.33	9.43	3.53	1.83	1.21	0.1	NA	NA	141.574295857988	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	75	80	143.666666666667	28.7777777777778	NA	NA	225	5
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP1$PLOT1181$ROW17$RANGE13$LH195 X LH123HT	Scottsbluff	1331	Hybrid HIPS	Medium	Full	1	17	13	SYNGENTA NK0760-3111	Hybrid	2022-08-02	2022-08-04	NA	NA	NA	88.9	185.42	236.22	2022-11-10 10:38:52	32.4	20.3	53.7	328	NA	17.4	4.6	18.4	2.6	25.8	638	184.4	yellow	N	40.5	17	NA	70.99	7.9	3.62	2.64	1.59	0.08	NA	NA	211.297298393914	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	75	77	200.434782608696	32.1739130434783	NA	NA	150	2
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP1$PLOT1257$ROW14$RANGE14$WF9 X H95	Scottsbluff	1257	Hybrid HIPS	Medium	Full	1	14	14	WF9 X H95	Hybrid	2022-08-11	2022-08-15	NA	NA	NA	96.52	187.96	243.84	2022-11-09 14:53:15	18.38	18.5	56.6	255	NA	15.6	4.6	18	3.2	27.5	645	170.8	yellow	N	37.8	16.5	NA	73.09	7.26	3.54	1.18	1.28	0.1	NA	NA	122.572693153001	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	84	88	189.777777777778	28	NA	NA	150	4
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP1$PLOT1174$ROW17$RANGE6$PHG39 X PHM49	Scottsbluff	1324	Hybrid HIPS	Medium	Full	1	17	6	PHW52 X PHN82	Hybrid	2022-07-25	2022-07-28	NA	NA	NA	76.2	175.26	238.76	2022-11-10 10:43:33	29.52	23.2	53.9	335	NA	15.2	4.6	17.2	2.9	27.1	544.8	172.8	yellow	N	36	15.5	NA	71.01	8.38	4.22	1.14	1.28	0.09	NA	NA	185.510367540152	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	67	70	189.89010989011	35.4945054945055	NA	NA	150	3
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP1$PLOT1172$ROW17$RANGE4$PHK56 X 3IIH6	Scottsbluff	1322	Hybrid HIPS	Medium	Full	1	17	4	B37 X MO17	Hybrid	2022-07-29	2022-08-02	NA	NA	NA	93.98	NA	NA	2022-11-10 10:44:52	21.18	24	52.4	337	NA	15.9	4	17.2	2.6	24.1	493.2	138.3	yellow	N	39.5	12.5	NA	70.71	7.22	3.87	1.77	1.17	0.08	NA	NA	131.713460693153	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	71	75	150.326086956522	31.6304347826087	NA	NA	150	4
SCOTTSBLUFF$HYBRID-HIPS - LOW NITROGEN$REP2$PLOT1113$ROW22$RANGE15$PHK76 X LH82	Scottsbluff	1403	Hybrid HIPS	High	Full	2	22	15	PHP02 X LH145	Hybrid	2022-07-31	2022-08-03	NA	NA	NA	88.9	177.8	223.52	2022-11-10 11:30:24	11.23	14.3	59	401	NA	17.4	4	18.6	2.8	23.4	484.5	146.7	yellow	N	40.5	12	NA	69.7	9.73	3.42	1.62	1.3	0.09	NA	NA	78.7501139475909	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	73	76	161.208791208791	32.1978021978022	NA	NA	225	3
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP1$PLOT1177$ROW17$RANGE9$PHK76 X LH198	Scottsbluff	1327	Hybrid HIPS	Medium	Full	1	17	9	PHP02 X PHK76	Hybrid	2022-07-25	2022-07-28	NA	NA	NA	88.9	182.88	233.68	2022-11-10 10:41:29	25.71	18.8	58.5	332	NA	16.4	4.4	17.9	2.6	26.1	454	160.8	yellow	N	37	13.5	NA	70.79	8.76	3.77	1.29	1.31	0.09	NA	NA	170.823933727811	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	67	70	176.703296703297	39.010989010989	NA	NA	150	3
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP2$PLOT1262$ROW14$RANGE19$B73 X MO17	Scottsbluff	1262	Hybrid HIPS	Medium	Full	2	14	19	B73 X MO17	Hybrid	2022-08-10	2022-08-14	NA	NA	NA	88.9	187.96	243.84	2022-11-09 14:56:36	21.47	20.8	49.6	260	NA	18.6	4.6	19.6	3	28.4	694.8	180.7	yellow	N	49.2	14.5	NA	72.03	7.34	3.73	2.25	1.43	0.1	NA	NA	139.138667117498	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	83	87	200.777777777778	28.5555555555556	NA	NA	150	4
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP2$PLOT1261$ROW14$RANGE18$PHP02 X PHK76	Scottsbluff	1261	Hybrid HIPS	Medium	Full	2	14	18	PHP02 X PHK76	Hybrid	2022-08-11	2022-08-15	NA	NA	NA	119.38	210.82	256.54	2022-11-09 14:56:03	21.38	17.5	57.3	259	NA	16	4.6	17.9	3.1	21.1	529.2	163	yellow	N	36.2	16	NA	71.49	7.47	3.74	1.26	1.26	0.09	NA	NA	144.328554522401	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	84	88	179.120879120879	33.956043956044	NA	NA	150	4
SCOTTSBLUFF$HYBRID-HIPS - LOW NITROGEN$REP2$PLOT1014$ROW26$RANGE16$B37 X H95	Scottsbluff	1504	Hybrid HIPS	High	Full	2	26	16	PHK56 X LH145	Hybrid	2022-07-31	2022-08-02	NA	NA	NA	63.5	172.72	223.52	2022-11-10 12:45:09	19.38	13.2	58.1	502	NA	15.1	3.8	16.5	2.4	19.4	598.2	127.1	yellow	N	36.8	16	NA	71.28	8.82	3.55	2.27	1.43	0.09	NA	NA	137.646163313609	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	73	75	139.67032967033	24.0659340659341	NA	NA	225	2
SCOTTSBLUFF$HYBRID-HIPS - LOW NITROGEN$REP2$PLOT1115$ROW22$RANGE17$PHK76 X 3IIH6	Scottsbluff	1405	Hybrid HIPS	High	Full	2	22	17	PHK56 X LH82	Hybrid	2022-08-01	2022-08-04	NA	NA	NA	63.5	162.56	215.9	2022-11-10 11:32:52	18.71	16.4	55.2	403	NA	13.6	4.8	14.8	2.8	18.1	569.8	139.3	yellow	N	34.2	17.5	NA	69.49	8.58	3.62	1.3	1.3	0.09	NA	NA	127.988419949281	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	74	77	153.076923076923	28.2417582417582	NA	NA	225	3
SCOTTSBLUFF$HYBRID-HIPS - HIGH NITROGEN$REP2$PLOT1503$ROW1$RANGE15$PHP02 X LH82	Scottsbluff	1013	Hybrid HIPS	Low	Full	2	1	15	PHP02 X PHN46	Hybrid	2022-07-26	2022-07-31	NA	NA	NA	50.8	167.64	218.44	2022-11-09 10:28:19	15.95	13.1	55.5	13	NA	10.1	4.2	15.6	2.9	14.7	384.2	98.8	yellow	N	30.2	14	NA	71.62	7.68	3.32	1.14	1.24	0.09	NA	NA	113.415151310228	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	68	73	108.571428571429	29.010989010989	NA	NA	75	5
SCOTTSBLUFF$HYBRID-HIPS - LOW NITROGEN$REP1$PLOT1084$ROW23$RANGE11$PHP02 X PHK76	Scottsbluff	1424	Hybrid HIPS	High	Full	1	23	11	PHN46 X PHB47	Hybrid	2022-07-31	2022-08-03	NA	NA	NA	81.28	180.34	228.6	2022-11-10 11:50:40	26.87	18.8	55.9	430	NA	17.1	4.9	17.9	3	27.2	517	187.1	yellow	Y	38.5	13.5	NA	71.2	8.31	3.2	1.73	1.25	0.09	NA	NA	178.531275739645	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	73	76	205.604395604396	39.5604395604396	NA	NA	225	3
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP2$PLOT1183$ROW17$RANGE15$PHN46 X PHK56	Scottsbluff	1333	Hybrid HIPS	Medium	Full	2	17	15	LH185 X W606S	Hybrid	2022-08-01	2022-08-06	NA	NA	NA	73.66	187.96	233.68	2022-11-10 10:37:34	26.14	20.5	57.6	326	NA	18.5	4.2	18.9	3.1	25.1	467.8	142.9	orange	N	39.2	13	NA	69.84	8.36	3.86	1.51	1.21	0.08	NA	NA	170.044787827557	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	74	79	155.326086956522	32.0652173913043	NA	NA	150	5
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP2$PLOT1268$ROW14$RANGE25$PHN46 X W606S	Scottsbluff	1268	Hybrid HIPS	Medium	Full	2	14	25	PHN46 X W606S	Hybrid	2022-07-27	2022-08-01	NA	NA	NA	60.96	187.96	241.3	2022-11-09 14:59:49	21.35	17.9	57.2	266	NA	16.8	5.2	19.2	3.5	30.9	554.5	181.6	yellow	N	39.5	15	NA	72.62	7.24	3.62	1.09	1.28	0.09	NA	NA	143.42724260355	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	69	74	199.56043956044	36.2637362637363	NA	NA	150	5
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP1$PLOT1178$ROW17$RANGE10$LH145 X LH162	Scottsbluff	1328	Hybrid HIPS	Medium	Full	1	17	10	SYNGENTA NK0760-3111	Hybrid	2022-07-31	2022-08-03	NA	NA	NA	78.74	187.96	236.22	2022-11-10 10:40:47	33.21	20.4	53.7	331	NA	18.1	4.6	18.9	3	25.2	635.2	175.8	yellow	N	39.5	15	NA	71.42	7.48	3.85	2.44	1.58	0.08	NA	NA	216.30798715131	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	73	76	191.086956521739	31.5217391304348	NA	NA	150	3
SCOTTSBLUFF$HYBRID-HIPS - LOW NITROGEN$REP1$PLOT1082$ROW23$RANGE9$PHK76 X LH82	Scottsbluff	1422	Hybrid HIPS	High	Full	1	23	9	PHP02 X PHK56	Hybrid	2022-08-01	2022-08-04	NA	NA	NA	86.36	198.12	251.46	2022-11-10 11:52:24	28.16	17.1	54.1	432	NA	16.1	4.5	16.5	2.6	19.2	626.8	174.4	yellow	Y	38.2	16.5	NA	70.97	8	3.49	1.74	1.34	0.09	NA	NA	191.019539475909	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	74	77	191.648351648352	31.8681318681319	NA	NA	225	3
SCOTTSBLUFF$HYBRID-HIPS - LOW NITROGEN$REP2$PLOT1118$ROW22$RANGE20$PHJ40 X LH82	Scottsbluff	1408	Hybrid HIPS	High	Full	2	22	20	2369 X PHZ51	Hybrid	2022-08-01	2022-08-05	NA	NA	NA	106.68	233.68	274.32	2022-11-10 11:34:38	27.19	18.3	59.7	406	NA	15.2	4.2	17.8	3.1	25.8	519.8	149	yellow	N	33.5	15	NA	71.57	8.37	3.68	1.12	1.3	0.09	NA	NA	181.769861707523	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	74	78	163.736263736264	30.6593406593407	NA	NA	225	4
SCOTTSBLUFF$HYBRID-HIPS - LOW NITROGEN$REP2$PLOT1125$ROW22$RANGE27$N209 X 3IIH6	Scottsbluff	1415	Hybrid HIPS	High	Full	2	22	27	B105 X 3IIH6	Hybrid	2022-07-30	2022-08-02	NA	NA	NA	86.36	193.04	241.3	2022-11-10 11:39:08	19.32	18.6	54.6	413	NA	16.5	4.8	20.9	3.4	22	576.5	161.7	yellow	N	35.5	16.5	NA	70.02	8.18	3.18	1.58	1.28	0.09	NA	NA	128.683285207101	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	72	75	177.692307692308	29.2307692307692	NA	NA	225	3
SCOTTSBLUFF$HYBRID-HIPS - LOW NITROGEN$REP2$PLOT1015$ROW26$RANGE17$B73 X PHZ51	Scottsbluff	1505	Hybrid HIPS	High	Full	2	26	17	PIONEER P0589 AMXT	Hybrid	2022-08-02	2022-08-05	NA	NA	NA	55.88	160.02	205.74	2022-11-10 12:45:47	29.89	16.1	57.6	503	NA	13.9	4.2	16.6	2.6	20	560	152.8	yellow	N	34.8	16.5	NA	71.58	7.81	3.9	1.42	1.32	0.08	NA	NA	205.200534911243	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	75	78	166.086956521739	31.304347826087	NA	NA	225	3
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP1$PLOT1226$ROW15$RANGE8$B37 X OH43	Scottsbluff	1276	Hybrid HIPS	Medium	Full	1	15	8	B73 X PHN82	Hybrid	2022-08-07	2022-08-12	NA	NA	NA	83.82	182.88	233.68	2022-11-09 15:13:08	30.17	21.9	54.8	288	NA	13.2	4.1	15	2.5	22.6	465.8	137.6	yellow	N	31.8	16.8	NA	72.16	7.88	3.77	0.83	1.19	0.09	NA	NA	192.804407100592	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	80	85	151.208791208791	33.0769230769231	NA	NA	150	5
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP2$PLOT1264$ROW14$RANGE21$PHG39 X PHM49	Scottsbluff	1264	Hybrid HIPS	Medium	Full	2	14	21	PHG39 X PHM49	Hybrid	2022-08-12	2022-08-16	NA	NA	NA	73.66	193.04	243.84	2022-11-09 14:57:40	22.41	21.1	55.7	262	NA	17.1	4.4	19.9	2.9	26.3	579.5	159.2	yellow	N	38	15.5	NA	71.81	7.59	3.8	1.56	1.24	0.1	NA	NA	144.680323922232	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	85	89	176.888888888889	28.8888888888889	NA	NA	150	4
SCOTTSBLUFF$HYBRID-HIPS - LOW NITROGEN$REP2$PLOT1117$ROW22$RANGE19$PIONEER 1311 AMXT	Scottsbluff	1407	Hybrid HIPS	High	Full	2	22	19	LH185 X LH145	Hybrid	2022-08-02	2022-08-07	NA	NA	NA	86.36	182.88	233.68	2022-11-10 11:33:55	20.56	13.4	58.7	405	NA	15.5	4.1	16.4	2.8	18.1	466.5	114.3	yellow	N	37.2	14	NA	71.36	8.46	3.31	2.21	1.42	0.09	NA	NA	145.690627895182	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	75	80	125.604395604396	24.5054945054945	NA	NA	225	5
SCOTTSBLUFF$HYBRID-HIPS - LOW NITROGEN$REP2$PLOT1119$ROW22$RANGE21$LH74 X PHN82	Scottsbluff	1409	Hybrid HIPS	High	Full	2	22	21	LH82 X PHB47	Hybrid	2022-07-30	2022-08-04	NA	NA	NA	83.82	170.18	215.9	2022-11-10 11:35:12	16.78	19	56.9	407	NA	13.5	4.5	14.6	2.8	19	516.2	122.6	yellow	N	29.8	16.5	NA	68.55	9.92	4.17	1.41	1.28	0.1	NA	NA	111.21608114962	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	72	77	136.222222222222	26.4444444444444	NA	NA	225	5
SCOTTSBLUFF$HYBRID-HIPS - LOW NITROGEN$REP2$PLOT1116$ROW22$RANGE18$WF9 X H95	Scottsbluff	1406	Hybrid HIPS	High	Full	2	22	18	PHP02 X LH185	Hybrid	2022-08-01	2022-08-04	NA	NA	NA	83.82	162.56	210.82	2022-11-10 11:33:23	23.16	17.7	54.8	404	NA	19	4.8	19.2	3.4	29	620.8	215.2	yellow	N	40.2	15.5	NA	70.41	8.65	3.53	1.89	1.35	0.1	NA	NA	155.965665595943	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	74	77	239.111111111111	38.6666666666667	NA	NA	225	3
SCOTTSBLUFF$HYBRID-HIPS - MEDIUM NITROGEN$REP2$PLOT1269$ROW14$RANGE26$LH185 X LH145	Scottsbluff	1269	Hybrid HIPS	Medium	Full	2	14	26	LH185 X LH145	Hybrid	2022-07-31	2022-08-04	NA	NA	NA	73.66	187.96	236.22	2022-11-09 15:00:20	21.07	14.2	59.4	267	NA	15	4.4	15.9	2.6	17.9	464.5	121.6	yellow	N	35	13.5	NA	71.21	7.69	3.25	1.63	1.17	0.08	NA	NA	147.925292307692	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	73	77	132.173913043478	27.3913043478261	NA	NA	150	4
SCOTTSBLUFF$HYBRID-HIPS - LOW NITROGEN$REP2$PLOT1121$ROW22$RANGE23$LH74 X PHM49	Scottsbluff	1411	Hybrid HIPS	High	Full	2	22	23	LH198 X PHZ51	Hybrid	2022-07-31	2022-08-03	NA	NA	NA	88.9	205.74	259.08	2022-11-10 11:36:43	26.98	19.9	59.8	409	NA	14.2	4.5	16.4	3.1	26.4	484	141.9	yellow	N	31.5	15	NA	70.96	8.91	3.73	1.24	1.28	0.1	NA	NA	176.833716314455	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	73	76	157.666666666667	30.1111111111111	NA	NA	225	3
SCOTTSBLUFF$HYBRID-HIPS - LOW NITROGEN$REP1$PLOT1081$ROW23$RANGE8$LH145 X LH162	Scottsbluff	1421	Hybrid HIPS	High	Full	1	23	8	PHK56 X PHJ89	Hybrid	2022-08-02	2022-08-05	NA	NA	NA	76.2	167.64	213.36	2022-11-10 11:52:56	24.63	20.1	56	433	NA	15.9	4.5	17.6	2.9	27.7	529.8	146.5	yellow	N	37.8	15	NA	70.82	8.68	3.78	1.05	1.24	0.09	NA	NA	161.028150126796	NA	NA	NA	2022-05-19 05:00:00	NA	NA	22.5	75	78	160.989010989011	31.2087912087912	NA	NA	225	3
