qr,plot,loc,field,nLvl,irrigation,rep,row,range,genotype,anthesisDate,anthesisCollector,silkingDate,silkingCollector,notes,leafLen1,leafWidth1,leafLen2,leafWidth2,earHt1,flagLeafHt1,plantHt1,earHt2,flagLeafHt2,plantHt2,leafDimHtCollector,leafDimHtDate,harvestDate,combineYield,combineMoisture,combineTestWt,harvestSeq,population,leafDimHtNotes,moistureCorrectedStarch,moistureCorrectedProtein,moistureCorrectedOil,moistureCorrectedFiber,moistureCorrectedAsh,looseKernelCt,looseKernelWt,totalMoisture,earDataCollector1,earPhenotypeNotes1,seedColor1,earWidth1,kernelFillLen1,kernelRows1,kernelsPerRow1,earWt1,totalKernelCt1,cobWidth1,cobLen1,cobWt1,hundredKernelWt1,greenAtHarvest1,earDataCollector2,earPhenotypeNotes2,seedColor2,earWidth2,kernelFillLen2,kernelRows2,kernelsPerRow2,earWt2,totalKernelCt2,cobWidth2,cobLen2,cobWt2,hundredKernelWt2,greenAtHarvest2,earDataCollector3,earPhenotypeNotes3,seedColor3,earWidth3,kernelFillLen3,kernelRows3,kernelsPerRow3,earWt3,totalKernelCt3,cobWidth3,cobLen3,cobWt3,hundredKernelWt3,greenAtHarvest3,earDataCollector4,earPhenotypeNotes4,seedColor4,earWidth4,kernelFillLen4,kernelRows4,kernelsPerRow4,earWt4,totalKernelCt4,cobWidth4,cobLen4,cobWt4,hundredKernelWt4,greenAtHarvest4,combineNotes
North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot383$Row15$Range26$LH123HT x PHB47,383,North Platte1,Hybrid HIPS,High,Full,2,15,26,LH123HT X PHB47,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,68.86,10.89,3.94,1.52,0.89,10,3.17,4.34,CH,NA,Yellow,4,18.5,12,18.5,187.2,18.5,2,19,24.68,32.09,FALSE,CH,NA,Yellow,4,17.5,14,17.5,194.35,17.5,2.5,17.5,25.42,30.31,FALSE,CH,NA,Yellow,3.5,15.5,14,15.5,151.72,15.5,2,16,19.58,29.07,FALSE,CH,NA,Yellow,4,14.5,16,14.5,149.98,14.5,2,14.5,17.98,27.81,FALSE,NA
North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot399$Row15$Range27$PHP02 x PHK56,399,North Platte1,Hybrid HIPS,High,Full,2,15,27,PHP02 X PHK56,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,71.65,8.75,3.71,0.86,0.81,78,21.8,4.12,CC,AK/LM,YELLOW,4.5,15,16,15,183.1,15,3,16.5,19.4,27.1,FALSE,CC,AK/LM,YELLOW,4.5,15.5,16,15.5,180.6,15.5,3,16,20.9,28.1,FALSE,CC,AK/LM,YELLOW,4.5,14.5,16,14.5,163.3,14.5,3,16,17.2,29.4,FALSE,CC,AK/LM,YELLOW,4,13.5,14,13.5,127.2,13.5,2.5,16,15.1,29.7,FALSE,NA
North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot415$Row15$Range28$Hoegemeyer 8065RR,415,North Platte1,Hybrid HIPS,High,Full,2,15,28,HOEGEMEYER 8065RR,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,72.12,8.57,4.5,0.05,0.88,34,10.47,4.07,ND,LM,Yellow,4.5,15.5,16,15.5,199.88,15.5,2.5,16.5,16.51,34.6,FALSE,ND,LM,Yellow,4.5,17,16,17,226.45,17,3,18,20.83,32.79,FALSE,ND,LM,Yellow,4,12.5,14,12.5,152.71,12.5,2.5,14.5,14.4,35.87,FALSE,ND,LM,Yellow,4,13.5,16,13.5,182.05,13.5,2,15,15.36,33.23,FALSE,NA
North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot431$Row15$Range29$LH82 x PHB47,431,North Platte1,Hybrid HIPS,High,Full,2,15,29,LH82 X PHB47,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,70.37,10.02,4.69,0.4,0.89,83,19.29,4.72,IS,eaten,Yellow,4.5,16,14,16,174.57,16,2.5,18,21.31,28.73,FALSE,IS,aborted,Yellow,4.5,13.5,18,13.5,165.35,13.5,2.5,15.5,20.4,22.22,FALSE,IS,eaten,Yellow,4,15.5,16,15.5,124.22,15.5,2.5,17,17.28,26.02,FALSE,IS,eaten,Yellow,4,12,16,12,119.64,12,2.5,14.5,17.35,22.24,FALSE,NA
North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot447$Row15$Range30$2369 x PHN82,447,North Platte1,Hybrid HIPS,High,Full,2,15,30,2369 X PHN82,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,71.21,7.85,3.54,0.79,0.92,NA,NA,NA,LL,NA,Yellow,4.5,17.5,16,42,212.21,647,2.5,18,28,28.85,NA,LL,NA,Yellow,5,17.5,18,40,238.95,726,3,19,30.91,28.28,NA,LL,NA,Yellow,5,17.5,14,41,225.15,597,3,19,29.65,33.23,NA,LL,NA,Yellow,4.5,15,18,35,182.51,592,2.5,16,23.37,27.18,NA,NA
North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot463$Row15$Range31$LH82 x W606S,463,North Platte1,Hybrid HIPS,High,Full,2,15,31,LH82 X W606S,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,72.42,9.18,4.34,0.19,0.86,226,56.52,4.43,IS,aborted,Red,4.5,16,18,16,134.86,16,2.5,18,24.9,30.93,FALSE,IS,aborted,Red,3.5,15,18,15,129.1,15,2.5,16,17.17,23.11,FALSE,IS,aborted,Red,4,15,18,15,136.02,15,2.5,16,18.7,24.05,FALSE,IS,aborted,Red,4.5,17,20,17,215.49,17,3,18.5,25.24,25.44,FALSE,NA
North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot479$Row15$Range32$Hoegemeyer 7089 AMXT,479,North Platte1,Hybrid HIPS,High,Full,2,15,32,HOEGEMEYER 7089 AMXT,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,72.28,8.73,4.33,0.54,0.96,78,29.6,5.16,CC,LM,Yellow,4,16,16,16,214.4,16,2.5,19,24,32,FALSE,CC,NA,Yellow,4.5,17,18,17,251.6,17,2.5,20,27.3,31.5,FALSE,CC,NA,Yellow,4.5,16,16,16,208.9,16,2.5,19.5,25.3,32.1,FALSE,CC,NA,Yellow,4,18,14,18,244.9,18,2.5,19.6,26.4,37.1,FALSE,NA
North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot495$Row15$Range33$2369 x PHZ51,495,North Platte1,Hybrid HIPS,High,Full,2,15,33,2369 X PHZ51,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,70.69,9.65,4.13,0.66,0.95,19,7.2,4.78,IS,aborted,Yellow,4.5,14.5,16,14.5,168.64,14.5,3,15.5,22.41,31.09,FALSE,IS,aborted,Yellow,4.5,18.5,16,18.5,225.95,18.5,3,19.5,29.77,31.3,FALSE,IS,aborted,Yellow,4.5,17,16,17,197.24,17,3,18,27.98,30.35,FALSE,IS,aborted,Yellow,4.5,16.5,16,16.5,216.43,16.5,3,18.5,28.36,32.02,FALSE,NA
North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot511$Row15$Range34$B105 x 3IIH6,511,North Platte1,Hybrid HIPS,High,Full,2,15,34,B105 X 3IIH6,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,71.85,8.57,4.19,0.21,0.85,286,78.69,4.99,ND,LM,Yellow,4,13.5,18,13.5,131.34,13.5,2.5,13.5,13.5,29.33,FALSE,ND,LM,Yellow,4,15.5,16,15.5,145.93,15.5,2.5,17.5,14.97,28.22,FALSE,ND,LM,Yellow,4,16,18,16,169.86,16,2.5,16.5,18.37,28.09,FALSE,ND,LM,Yellow,4,15,18,15,160.9,15,2.5,16.5,18.48,29.57,FALSE,NA
North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot527$Row15$Range35$Syngenta NK0760-3111,527,North Platte1,Hybrid HIPS,High,Full,2,15,35,SYNGENTA NK0760-3111,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,72.09,9.37,3.98,1.71,1.23,175,42.7,4.1,CC,LM,Yellow,4.5,16,16,16,192.1,16,2.5,17,23.6,32.3,FALSE,CC,LM,Yellow,4.5,15,16,15,176.2,15,2.5,16,20.1,29,FALSE,CC,LM,Yellow,4.5,17,16,17,223.4,17,2.5,18,23.2,31,FALSE,CC,LM,Yellow,4.5,16,16,16,192.1,16,2.5,17.5,23.5,30.3,FALSE,NA
North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot16$Row16$Range1$Hoegemeyer 7089 AMXT,16,North Platte1,Hybrid HIPS,Low,Full,2,16,1,HOEGEMEYER 7089 AMXT,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,72.67,8.35,3.95,0.55,0.73,72,22.6,3.9,CC,AK/LM,Yellow,4.5,16.5,16,16.5,208.8,16.5,2.5,17.5,22.4,28.9,FALSE,CC,AK/LM,Yellow,4.5,13,16,13,173.2,13,2.5,15,21.1,35.1,FALSE,CC,AK/LM,Yellow,4.5,16.5,18,16.5,214.2,16.5,2.5,19,24.6,30.9,FALSE,CC,AK/LM,Yellow,4.5,14,14,14,176.2,14,2.5,16,21.3,35,FALSE,NA
North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot32$Row16$Range2$PHP02 x LH145,32,North Platte1,Hybrid HIPS,Low,Full,2,16,2,PHP02 X LH145,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,70.56,10.53,4.29,0.85,0.89,46,13.17,4.45,LL,NA,Yellow,3.5,14.5,16,14.5,133.33,14.5,2.5,16,17.82,25.14,FALSE,LL,NA,Yellow,4.5,16.5,16,16.5,161,16.5,3,18,22.01,32.41,FALSE,LL,NA,Yellow,5,15.5,16,15.5,159.7,15.5,3.5,18.5,22.26,30.9,FALSE,LL,NA,Yellow,4.5,14.5,14,14.5,131.29,14.5,3.5,18,18.24,27.88,FALSE,NA
North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot48$Row16$Range3$2FACC x 3IIH6,48,North Platte1,Hybrid HIPS,Low,Full,2,16,3,2FACC X 3IIH6,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,69.29,8.85,3.88,0.89,0.98,154,38.58,4.31,IS,aborted,Yellow,4.5,14,18,14,171.61,14,3,17,21.63,27.39,FALSE,IS,aborted,Yellow,4,14,18,14,148.13,14,2.5,15.5,19.97,26.53,FALSE,IS,aborted,Yellow,4.5,13,18,13,147.03,13,2.5,13.5,16.72,30.51,FALSE,IS,aborted,Yellow,4.5,14,20,14,172.69,14,3,15.5,20.37,23.5,FALSE,NA
North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot64$Row16$Range4$PHB47 x 3IIH6,64,North Platte1,Hybrid HIPS,Low,Full,2,16,4,PHB47 X 3IIH6,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,68.27,8.98,3.55,0.91,1,83,33.6,4.8,ND,AK/LM,Yellow,4.5,17,16,17,188,17,2.5,19.5,24,20.1,FALSE,ND,AK/LM,Yellow,4.5,16,18,16,174.7,16,3,17.5,18.3,26.8,FALSE,ND,AK/LM,Yellow,4.5,17.5,18,17.5,192.6,17.5,3,19.5,20.9,28,FALSE,ND,AK/LM,Yellow,4.5,18.5,18,18.5,221.5,18.5,3,20.5,23.2,30.7,FALSE,NA
North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot80$Row16$Range5$B14A x Mo17,80,North Platte1,Hybrid HIPS,Low,Full,2,16,5,B14A X MO17,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,72.63,8.15,4.06,1.13,1.13,NA,NA,NA,CH,NA,Yellow,3.5,14,14,32,131.75,442,2.5,14.5,15.51,27.78,NA,CH,NA,Yellow,4,15.5,16,37,180.81,551,2.5,16.5,20.66,29.15,NA,CH,NA,Yellow,4,16.5,16,38,185.93,630,2.5,17,20.49,28.34,NA,CH,NA,Yellow,4,17,14,35,175.93,448,2.5,18,20.03,35.43,NA,NA
North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot96$Row16$Range6$Pioneer 1311 AMXT,96,North Platte1,Hybrid HIPS,Low,Full,2,16,6,PIONEER 1311 AMXT,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,72.47,8.62,3.93,0.28,0.76,188,83.3,3.77,ND,AK/LM,Yellow,4.5,17.5,20,17.5,236.43,17.5,2.5,18,31.46,38.99,FALSE,ND,AK/LM,Yellow,4,12.5,18,12.5,149.12,12.5,2.5,14.5,19.14,33.91,FALSE,ND,AK/LM,Yellow,4.5,14.5,18,14.5,210.19,14.5,2.5,17.5,23.95,37.58,FALSE,ND,AK/LM,Yellow,4,14.5,16,14.5,150.11,14.5,2,15,19.92,36.2,FALSE,NA
North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot112$Row16$Range7$LH195 x 3IIH6,112,North Platte1,Hybrid HIPS,Low,Full,2,16,7,LH195 X 3IIH6,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,69.71,7.79,4.14,0.6,1.03,154,22.64,5.07,IS,aborted,Yellow,4.5,18,16,18,208.54,18,2.5,19.5,23.66,28.07,FALSE,IS,aborted,Yellow,4.5,16.5,16,16.5,188.03,16.5,2.5,17.5,23.31,25.89,FALSE,IS,aborted,Yellow,4,16,16,16,173.51,16,2.5,16,20.26,27.04,FALSE,IS,aborted,Yellow,4,15,16,15,166.24,15,2.5,17,20.37,25.89,FALSE,NA
North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot128$Row16$Range8$2369 x LH123HT,128,North Platte1,Hybrid HIPS,Low,Full,2,16,8,2369 X LH123HT,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,69.55,9.82,3.69,1.16,0.87,33,8.3,4.23,CH,AK/LM,Yellow,3.5,17,14,17,175.8,17,2.5,17.5,26.4,29.7,FALSE,CH,AK/LM,Yellow,4,15.5,16,15.5,170.9,15.5,2.5,16,27.3,26.4,FALSE,CH,AK/LM,Yellow,3.5,15.5,16,15.5,160,15.5,2.5,16,24.6,26.1,FALSE,CH,AK/LM,Yellow,4,13,16,13,135.4,13,2.5,14,20.9,26,FALSE,NA
North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot144$Row16$Range9$PHN46 x PHB47,144,North Platte1,Hybrid HIPS,Low,Full,2,16,9,PHN46 X PHB47,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,72.73,8.44,3.71,0.52,0.67,64,22.06,4.41,IS,aborted,Yellow,4.5,17,14,17,213.28,17,2.5,18,23.79,32.66,FALSE,IS,aborted,Yellow,4.5,15.5,16,15.5,182.63,15.5,3,16,19.25,28.09,FALSE,IS,aborted,Yellow,4.5,13.5,14,13.5,152.3,13.5,2.5,14,17.22,31.8,FALSE,IS,aborted,Yellow,4.5,13.5,14,13.5,152.85,13.5,2.5,15,16.63,34.27,FALSE,NA
North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot160$Row16$Range10$Syngenta NK0760-3111,160,North Platte1,Hybrid HIPS,Low,Full,2,16,10,SYNGENTA NK0760-3111,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,68.73,8.87,3.52,1.23,0.99,413,105.49,4.07,AI,NA,Yellow,4.5,15.5,16,15.5,131.81,15.5,2.5,17,20.97,30.63,FALSE,AI,NA,Yellow,4.5,16.5,14,16.5,180.26,16.5,2.5,17.5,21.76,34.95,FALSE,AI,NA,Yellow,4.5,17,14,17,176.23,17,2.5,18,22.19,31.04,FALSE,AI,NA,Yellow,4.5,17,16,17,192.85,17,2.5,18.5,23.18,34.64,FALSE,NA
North Platte$HIPS - Full Irrigation - Low Nitrogen$Rep2$Plot176$Row16$Range11$Syngenta NK0760-3111,176,North Platte1,Hybrid HIPS,Low,Full,2,16,11,SYNGENTA NK0760-3111,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,72.23,8.68,3.63,1.81,1.33,127,36.87,4.54,ND,LM,Yellow,4,17.5,16,17.5,211.95,17.5,2.5,18,24.23,29.02,FALSE,ND,LM,Yellow,4,17.5,14,17.5,206.19,17.5,2.5,18,25.3,34.29,FALSE,ND,LM,Yellow,4.5,17,18,17,217.76,17,2.5,17.5,24.64,29.49,FALSE,ND,LM,Yellow,4,16.5,14,16.5,173.65,16.5,2.5,17.5,20.63,29.9,FALSE,NA
North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot192$Row16$Range13$PHW52 x LH185,192,North Platte1,Hybrid HIPS,Medium,Full,2,16,13,PHW52 X LH185,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,72.7,8.17,3.62,0.67,0.86,65,19.5,4.03,IS,NA,Yellow,5,17.5,14,17.5,205,17.5,3,18.5,21.1,35.3,FALSE,IS,aborted,Yellow,4.5,18,16,18,205.5,18,2.5,19,21.7,31.8,FALSE,IS,aborted,Yellow,4.5,18.5,14,18.5,225.3,18.5,2.5,19.5,22.2,34,FALSE,IS,aborted,Yellow,4,17.5,14,17.5,180.7,17.5,2.5,18,20.7,31.8,FALSE,NA
North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot208$Row16$Range14$B14A x Mo17,208,North Platte1,Hybrid HIPS,Medium,Full,2,16,14,B14A X MO17,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,68.64,8.55,3.79,1.33,1.05,NA,NA,NA,IS,NA,Yellow,4,15,14,30,152.3,382,2.5,15,20.8,34.8,NA,IS,NA,Yellow,4,17.5,15,40,187.9,548,2.5,17.5,22.6,29.6,NA,IS,NA,Yellow,4,15.5,12,36,153.2,431,2.5,17,19,29.9,NA,IS,NA,Yellow,4,16.5,14,34,178.2,489,2.5,17.5,20.9,31.2,NA,NA
North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot224$Row16$Range15$LH123HT x 3IIH6,224,North Platte1,Hybrid HIPS,Medium,Full,2,16,15,LH123HT X 3IIH6,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,71.2,9.16,3.89,0.89,0.91,NA,NA,NA,IS,NA,Yellow,4,16.5,14,36,153.27,429,2.5,17.5,23.51,28.8,NA,IS,NA,Yellow,4.5,16.5,18,31,170.8,483,3,18.5,24.96,28.8,NA,IS,NA,Yellow,4.5,14.5,16,32,143.68,473,2.5,15,17.65,26.19,NA,IS,NA,Yellow,4.5,13.5,16,29,146.85,425,2.5,16,19.37,29.38,NA,NA
North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot240$Row16$Range16$PHP02 x LH198,240,North Platte1,Hybrid HIPS,Medium,Full,2,16,16,PHP02 X LH198,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,69.95,11.47,3.81,1.27,0.98,60,19,4.68,CC,LM,YELLOW,4,11.5,16,11.5,125.1,11.5,2.5,13.5,18.1,32.6,FALSE,CC,LM,YELLOW,4.5,10.5,16,10.5,143.4,10.5,2.5,12.5,20.3,34.3,FALSE,CC,LM,YELLOW,4.5,10,16,10,123.5,10,2.5,11,18.7,33.3,FALSE,CC,LM,YELLOW,4,11,14,11,135.7,11,2.5,12.5,20.1,33.1,FALSE,NA
North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot256$Row16$Range17$PHP02 x PHK76,256,North Platte1,Hybrid HIPS,Medium,Full,2,16,17,PHP02 X PHK76,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,66.82,10.54,3.21,1.66,1.19,NA,NA,NA,C,NA,Yellow/Orange,4,16.5,14,35,163.2,400,3,18,22,33.6,NA,C,NA,Yellow/Orange,3.5,16.5,12,26,126.6,318,2.5,17.5,19.4,33,NA,C,NA,Yellow/Orange,4,16.5,14,33,154,435,2.5,18,20.1,28.2,NA,C,NA,Yellow/Orange,4,16.5,14,33,169.8,516,2.5,17,23.6,32.1,NA,NA
North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot272$Row16$Range18$B73 x PHN82,272,North Platte1,Hybrid HIPS,Medium,Full,2,16,18,B73 X PHN82,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,72.43,8.44,4.16,0.64,0.93,103,30.97,3.94,CH,NA,Yellow,4.5,15,16,15,200.58,15,2.5,15.5,26.42,30.95,FALSE,CH,NA,Yellow,4.5,14,18,14,202.46,14,2.5,15.5,27.26,30.55,FALSE,CH,NA,Yellow,4.5,14.5,18,14.5,198.69,14.5,2.5,16,28.66,30.84,FALSE,CH,NA,Yellow,4.5,15,18,15,212.87,15,2.5,16.5,31.05,31.72,FALSE,NA
North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot288$Row16$Range19$WF9 x H95,288,North Platte1,Hybrid HIPS,Medium,Full,2,16,19,WF9 X H95,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,69.47,11.73,4.52,1.27,1.04,NA,NA,NA,HT,NA,Yellow,4.5,16,18,40,168.6,550,3,16,24.5,26.5,NA,HT,NA,Yellow,4,15,18,41,147.4,618,3,15.5,23.1,19.7,NA,HT,NA,Yellow,4.5,16.5,18,46,137.5,688,3,17,26.5,21.7,NA,HT,NA,Yellow,4.5,15,18,38,165.6,520,3,15,24.6,27.1,NA,NA
North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot304$Row16$Range20$F42 x Mo17,304,North Platte1,Hybrid HIPS,Medium,Full,2,16,20,F42 X MO17,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,70.8,10.56,3.64,0.92,1.03,NA,NA,NA,AI,NA,Yellow,5,16.5,18,36,179.1,508,3,18.5,23.5,30.3,NA,AI,NA,Yellow,4.5,17,18,43,211.5,685,3,18,22.9,28,NA,AI,NA,Yellow,5,17,18,39,217.4,644,3,18.5,23.9,29.5,NA,AI,NA,Yellow,5,17,14,44,220.9,519,3,19,25,37.9,NA,NA
North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot320$Row16$Range21$PHP02 x W606S,320,North Platte1,Hybrid HIPS,Medium,Full,2,16,21,PHP02 X W606S,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,71.65,9.67,3.77,0.62,0.76,284,88.94,4.12,IS,aborted,Orange,4.5,18,16,18,215.41,18,3.5,21,32.15,32.09,FALSE,IS,aborted,Orange,4.5,15,16,15,147.11,15,3.5,18,22.34,31.84,FALSE,IS,aborted,Orange,4,16,16,16,135.71,16,3,16.5,27.65,30.76,FALSE,IS,aborted,Orange,4,15,14,15,133,15,3,16.5,19.5,29.29,FALSE,NA
North Platte$HIPS - Full Irrigation - Medium Nitrogen$Rep2$Plot336$Row16$Range22$B37 x Mo17,336,North Platte1,Hybrid HIPS,Medium,Full,2,16,22,B37 X MO17,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,Hybrid,NA,67.01,11.38,3.17,1.29,0.85,120,40.84,3.99,IS,aborted/ eaten,Yellow,4.5,17.5,14,17.5,173.04,17.5,3,19,27.52,30.83,FALSE,IS,aborted/ eaten,Yellow,4,18,14,18,184.14,18,3,19.5,28.49,31.86,FALSE,IS,aborted,Yellow,4.5,17.5,14,17.5,175.94,17.5,3,18,28.5,31.75,FALSE,IS,aborted,Yellow,4.5,17.5,14,17.5,206.76,17.5,3,19,31.58,32.56,FALSE,NA
