qrCode,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,row,range,plotNumber,genotype,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,combineYield,yieldPerAcre,combineMoisture,combineTestWeight,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,harvestDate,notes
6124$ROW31$RANGE4$2369 X PHZ51,Lincoln,Lincoln,0,High,225,,17.5,,5,31,4,6124,2369 X PHZ51,2022-05-22,2022-07-20,2022-07-24,59,63,4,1346.07,1451.51,105.44,114,200,,2.51,22.82,13.6,62.2,12.6,10.2,2.9,2.4,19.5,13.5,216,18.8,41.2,10.6,4.92,68.85,11.88,3.65,1.11,0.88,yellow,,2022-10-10 10:39:53,
6125$ROW31$RANGE5$LH185 X LH82,Lincoln,Lincoln,0,High,225,,17.5,,5,31,5,6125,LH185 X LH82,2022-05-22,2022-07-19,2022-07-20,58,59,1,1320.57,1346.07,25.5,66,155,,3.76,34.34,13.2,62.5,14,11.9,3.4,2.4,26.2,15.8,340,17.3,57,11.8,4.83,69.06,12.49,4.35,0.56,1.03,yellow,,2022-10-10 10:46:29,
6126$ROW31$RANGE6$B105 X 3IIH6,Lincoln,Lincoln,0,High,225,,17.5,,5,31,6,6126,B105 X 3IIH6,2022-05-22,2022-07-19,2022-07-23,58,62,4,1320.57,1422.27,101.7,80,172,,1.77,16.39,12,63.1,17.1,14.9,3.5,2.5,30.2,17,420,15.2,66.1,12.3,4.89,67.58,13.07,4.78,0.99,1.49,yellow,,2022-10-10 11:14:53,
6127$ROW31$RANGE7$F42 X OH43,Lincoln,Lincoln,0,High,225,,17.5,,5,31,7,6127,F42 X OH43,2022-05-22,2022-07-19,2022-07-26,58,65,7,1320.57,1498.26,177.69,96,190,,2.58,23.48,13.5,61.9,15.1,13.8,3.5,2.6,25.5,15.2,313,21.5,64.8,17.4,4.56,67.38,12.4,4.17,1.48,1.09,yellow,,2022-10-10 11:23:57,
6128$ROW31$RANGE8$LH123HT X 3IIH6,Lincoln,Lincoln,0,High,225,,17.5,,5,31,8,6128,LH123HT X 3IIH6,2022-05-22,2022-07-22,2022-08-01,61,71,10,1395.88,1631.41,235.54,,,,0.49,5.06,,,11.8,10.7,3.3,2.2,24.7,16,289,9.8,29,6.7,4.76,64.73,15.41,4.22,0.96,1.3,,,2022-10-10 11:48:37,
6129$ROW32$RANGE2$PHP02 X PHJ89,Lincoln,Lincoln,0,High,225,,17.5,,5,32,2,6129,PHP02 X PHJ89,2022-05-22,2022-07-17,2022-07-18,56,57,1,1268.08,1295.5,27.42,75,170,,7.21,65.84,13.2,62.8,15.9,14,3.5,2.5,33.2,14.2,357,20.9,77.8,15.7,4.99,67.13,11.43,4.2,0.79,1.22,yellow,,2022-10-10 10:04:08,
6130$ROW32$RANGE3$4N506 X 3IIH6,Lincoln,Lincoln,0,High,225,,17.5,,5,32,3,6130,4N506 X 3IIH6,2022-05-22,2022-07-20,2022-07-22,59,61,2,1346.07,1395.88,49.81,102,199,,1.52,14.01,12.4,63.1,17.5,14.6,3.9,2.8,29.5,17,476,20,105.7,22.5,4.94,65.74,11.58,4.31,1.8,1.38,yellow,,2022-10-10 10:16:22,
6131$ROW32$RANGE4$PHP02 X W606S,Lincoln,Lincoln,0,High,225,,17.5,,5,32,4,6131,PHP02 X W606S,2022-05-22,2022-07-18,2022-07-19,57,58,1,1295.5,1320.57,25.07,100,187,,4.18,38.21,13.1,62.6,15.6,14,3.6,2.9,28,14.5,355,19.7,67.8,16.3,5.2,69.02,11.99,4.76,0.62,1.16,orange,,2022-10-10 10:40:17,
6132$ROW32$RANGE5$PHZ51 X LH145,Lincoln,Lincoln,0,High,225,,17.5,,5,32,5,6132,PHZ51 X LH145,2022-05-22,2022-07-18,2022-07-20,57,59,2,1295.5,1346.07,50.57,100,203,,5.43,49.64,13.1,62.5,19.5,17.6,3.8,2.9,37.8,16,536,19.7,103.4,21.4,4.76,69.13,11.52,4.05,0.89,0.98,yellow,,2022-10-10 10:46:06,
6133$ROW32$RANGE6$PHK76 X LH198,Lincoln,Lincoln,0,High,225,,17.5,,5,32,6,6133,PHK76 X LH198,2022-05-22,2022-07-18,2022-07-21,57,60,3,1295.5,1370.73,75.23,87,190,,3.3,30,13.6,62.2,13.9,11.9,3,2.2,25.2,16.8,319,17.1,57.2,12.6,5.16,70.86,10.86,4.6,0.77,0.99,yellow,,2022-10-10 11:15:23,
6134$ROW32$RANGE7$B84 X 3IIH6,Lincoln,Lincoln,0,High,225,,17.5,,5,32,7,6134,B84 X 3IIH6,2022-05-22,2022-07-21,2022-07-23,60,62,2,1370.73,1422.27,51.54,104,189,,2.28,20.75,13.5,61.9,16.7,14.7,3.5,2.2,32.3,16,394,18.7,80.2,16.5,5.34,69.59,11.09,4.2,1.61,1.41,yellow,,2022-10-10 11:23:35,
6135$ROW32$RANGE8$B73 X PHM49,Lincoln,Lincoln,0,High,225,,17.5,,5,32,8,6135,B73 X PHM49,2022-05-22,2022-07-21,2022-07-25,60,64,4,1370.73,1479.48,108.75,90,196,,2.58,23.4,13.8,61.7,16.1,14.6,3.6,2.5,36.2,15.8,459,18.4,83.1,17.5,5.19,65.22,11.78,4.1,1.79,1.18,yellow,,2022-10-10 11:49:00,
6136$ROW33$RANGE2$LH82 X W606S,Lincoln,Lincoln,0,High,225,,17.5,,5,33,2,6136,LH82 X W606S,2022-05-22,2022-07-21,2022-07-25,60,64,4,1370.73,1479.48,108.75,69,152,,4.87,44.37,13.4,62.7,15.1,11.2,3.1,2.1,25.5,17.8,359,15.6,55.1,12,5.95,70.5,10.48,3.56,0.77,1.19,,,2022-10-10 10:04:35,
6137$ROW33$RANGE3$F42 X MO17,Lincoln,Lincoln,0,High,225,,17.5,,5,33,3,6137,F42 X MO17,2022-05-22,2022-07-22,2022-07-31,61,70,9,1395.88,1607.61,211.74,89,180,,0.59,5.75,7.4,65.1,13.2,11.7,2.8,1.5,23,14,267,20.1,53.7,11.1,5.41,63.73,11.83,4.11,1.79,1.31,yellow,,2022-10-10 10:16:01,
6138$ROW33$RANGE4$LH82 X PHJ89,Lincoln,Lincoln,0,High,225,,17.5,,5,33,4,6138,LH82 X PHJ89,2022-05-22,2022-07-18,2022-07-19,57,58,1,1295.5,1320.57,25.07,80,159,,2.85,26.09,13,62.6,13.4,12.6,3.5,2.5,26.2,16.5,354,16.9,59.8,8.5,5.74,69.23,11.5,4.36,0.81,1.09,yellow,,2022-10-10 10:40:40,
6139$ROW33$RANGE5$PHW52 X PHN82,Lincoln,Lincoln,0,High,225,,17.5,,5,33,5,6139,PHW52 X PHN82,2022-05-22,2022-07-20,2022-07-23,59,62,3,1346.07,1422.27,76.2,78,181,,3.35,29.85,15.3,60.7,15.1,11.9,3.8,2.2,28.5,16,376,22.3,84.2,12.5,5.56,69.11,11.43,4.29,0.66,1.03,yellow,,2022-10-10 10:45:46,
6140$ROW33$RANGE6$B14A X MO17,Lincoln,Lincoln,0,High,225,,17.5,,5,33,6,6140,B14A X MO17,2022-05-22,2022-07-23,2022-07-28,62,67,5,1422.27,1550.01,127.74,102,181,,2.84,25.52,14.6,61.2,15.4,13.8,3.5,2.2,34.2,13.5,336,23.3,79.5,11.9,5.79,68.85,11.59,4.29,1.58,1.38,yellow,,2022-10-10 11:15:50,
6141$ROW33$RANGE7$PHK56 X PHJ89,Lincoln,Lincoln,0,High,225,,17.5,,5,33,7,6141,PHK56 X PHJ89,2022-05-22,2022-07-22,2022-07-24,61,63,2,1395.88,1451.51,55.63,70,156,,1.86,16.97,13.3,61.9,14.6,13.2,3.6,2.4,31.5,15,382,21.8,92.9,15.2,5.29,66.92,12.44,4.37,0.72,1.05,yellow,,2022-10-10 11:23:16,
6142$ROW33$RANGE8$PHN46 X PHK56,Lincoln,Lincoln,0,High,225,,17.5,,5,33,8,6142,PHN46 X PHK56,2022-05-22,2022-07-20,2022-07-23,59,62,3,1346.07,1422.27,76.2,71,154,,1.37,12.73,11.7,62.8,13.5,11.2,3.9,2.6,32.5,16.5,424,12.6,51.1,11.3,5.75,69.18,12.63,3.73,1.15,1.37,yellow,,2022-10-10 11:49:26,
6143$ROW34$RANGE2$PHK76 X LH145,Lincoln,Lincoln,0,High,225,,17.5,,5,34,2,6143,PHK76 X LH145,2022-05-22,2022-07-19,2022-07-21,58,60,2,1320.57,1370.73,50.16,71,149,,2.96,26.59,14.6,62,13,10.6,3.2,2.5,24.8,13,264,15.5,41.3,9.1,5.42,69.08,12.39,4.11,0.72,0.97,orange,,2022-10-10 10:05:02,
6144$ROW34$RANGE3$PHK56 X 3IIH6,Lincoln,Lincoln,0,High,225,,17.5,,5,34,3,6144,PHK56 X 3IIH6,2022-05-22,2022-07-19,2022-07-24,58,63,5,1320.57,1451.51,130.94,78,171,,0.34,3.5,,,14.2,13.5,4,3,31.5,17,458,13.2,61.7,14.9,5.04,64.14,13.78,4.17,1.44,1.26,yellow,,2022-10-10 10:15:36,
6145$ROW34$RANGE4$PHP02 X LH82,Lincoln,Lincoln,0,High,225,,17.5,,5,34,4,6145,PHP02 X LH82,2022-05-22,2022-07-18,2022-07-19,57,58,1,1295.5,1320.57,25.07,70,140,,2.67,24.61,12.4,62.9,12.1,10.1,3.1,2.2,21.5,13,246,12.6,29.9,6.4,5.21,66.25,14.58,3.96,1.06,1.29,yellow,,2022-10-10 10:41:04,
6146$ROW34$RANGE5$PHK76 X W606S,Lincoln,Lincoln,0,High,225,,17.5,,5,34,5,6146,PHK76 X W606S,2022-05-22,2022-07-20,2022-07-21,59,60,1,1346.07,1370.73,24.66,66,162,,2.92,26.54,13.6,62.2,12.9,11.5,2.9,2,22.2,12.8,252,11.9,30.4,4.8,5.36,68.8,12.16,3.98,0.15,1,orange,,2022-10-10 10:45:23,
6147$ROW34$RANGE6$LH198 X PHZ51,Lincoln,Lincoln,0,High,225,,17.5,,5,34,6,6147,LH198 X PHZ51,2022-05-22,2022-07-20,2022-07-23,59,62,3,1346.07,1422.27,76.2,87,201,,1.85,16.72,14.1,61.4,13.4,12.4,3.1,2.2,23.8,13.2,241,23,56.7,11.6,4.64,66.3,12.36,4.88,1.21,1.11,yellow,,2022-10-10 11:16:14,
6148$ROW34$RANGE7$N209 X 3IIH6,Lincoln,Lincoln,0,High,225,,17.5,,5,34,7,6148,N209 X 3IIH6,2022-05-22,2022-07-19,2022-07-23,58,62,4,1320.57,1422.27,101.7,98,169,,2.91,26.54,13.3,62,16.1,13.2,4,3,26.5,18,395,16.9,65.5,12.3,4.97,64.44,12.96,4.43,1.3,1.38,yellow,,2022-10-10 11:22:46,
6149$ROW34$RANGE8$B73 X 3IIH6,Lincoln,Lincoln,0,High,225,,17.5,,5,34,8,6149,B73 X 3IIH6,2022-05-22,2022-07-19,2022-07-22,58,61,3,1320.57,1395.88,75.31,82,192,,1.58,14.73,11.4,63.2,15,10,4,3,25,18,364,11.1,39.3,15.7,5.78,64.44,15.01,4.66,2.01,1.72,yellow,,2022-10-10 11:49:47,
6150$ROW35$RANGE2$2369 X PHP02,Lincoln,Lincoln,0,High,225,,17.5,,5,35,2,6150,2369 X PHP02,2022-05-22,2022-07-19,2022-07-22,58,61,3,1320.57,1395.88,75.31,70,149,,2.04,18.56,13.5,62.4,14.8,12.9,3.2,2,26.8,14.5,318,19.9,64.6,13.4,4.97,66.23,11.68,3.81,1.4,1.26,yellow,,2022-10-10 10:05:26,
6151$ROW35$RANGE3$LH123HT X PHB47,Lincoln,Lincoln,0,High,225,,17.5,,5,35,3,6151,LH123HT X PHB47,2022-05-22,2022-07-21,2022-07-23,60,62,2,1370.73,1422.27,51.54,90,147,,0.16,1.67,,,16,14.2,3,1.8,31.5,12.5,346,19.2,75.5,19.3,4.67,63.25,12.98,4.36,2.19,0.96,yellow,,2022-10-10 10:15:13,
6152$ROW35$RANGE4$PHP02 X PHB47,Lincoln,Lincoln,0,High,225,,17.5,,5,35,4,6152,PHP02 X PHB47,2022-05-22,2022-07-18,2022-07-19,57,58,1,1295.5,1320.57,25.07,84,169,,1.36,12.73,11,63.8,12.9,11.1,3,2,25,13,250,16.6,42.3,8.9,4.64,63.62,13.49,3.76,1.46,1.16,yellow,,2022-10-10 10:41:26,
6153$ROW35$RANGE5$B37 X OH43,Lincoln,Lincoln,0,High,225,,17.5,,5,35,5,6153,B37 X OH43,2022-05-22,2022-07-19,2022-08-01,58,71,13,1320.57,1631.41,,98,188,,1.37,12.65,12.2,62.7,16.4,14.5,3.4,2.5,32.2,17.5,421,20.3,85.6,17.7,5.17,67.75,11.82,4.31,1.72,1,yellow,,2022-10-10 10:45:01,
6154$ROW35$RANGE6$PHB47 X PHK56,Lincoln,Lincoln,0,High,225,,17.5,,5,35,6,6154,PHB47 X PHK56,2022-05-22,2022-07-19,2022-07-23,58,62,4,1320.57,1422.27,101.7,70,176,,2.86,26.03,13.5,62.2,12.2,11.6,2.6,1.6,29,14.5,318,14.8,49.5,9.6,5.06,66.14,13.57,4.46,1.38,0.98,yellow,,2022-10-10 11:16:50,
6155$ROW35$RANGE7$B37 X MO17,Lincoln,Lincoln,0,High,225,,17.5,,5,35,7,6155,B37 X MO17,2022-05-22,2022-07-24,2022-07-31,63,70,7,1451.51,1607.61,156.11,90,180,,1.71,15.62,13.2,61.6,14.5,14.1,3.1,2.1,27,13.2,288,25,76,16.9,5.07,64.51,11.81,3.63,1.92,1.05,yellow,,2022-10-10 11:22:25,
6156$ROW35$RANGE8$2369 X PHP02,Lincoln,Lincoln,0,High,225,,17.5,,5,35,8,6156,2369 X PHP02,2022-05-22,2022-07-17,2022-07-19,56,58,2,1268.08,1320.57,52.49,87,160,,2.85,26.27,12.4,62.7,14.2,12.2,3,2.1,26,14.5,296,17.1,50.1,12.8,4.66,65.61,13.7,4.16,1.67,1.44,yellow,,2022-10-10 11:50:09,
6157$ROW36$RANGE2$PHN46 X PHB47,Lincoln,Lincoln,0,High,225,,17.5,,5,36,2,6157,PHN46 X PHB47,2022-05-22,2022-07-20,2022-07-19,59,58,-1,1346.07,1320.57,-25.5,87,172,,2.43,22.14,13.4,62.6,,,,,,,,,,,,,,,,,,,2022-10-10 10:09:21,
6158$ROW36$RANGE3$B37 X H95,Lincoln,Lincoln,0,High,225,,17.5,,5,36,3,6158,B37 X H95,2022-05-22,2022-07-21,2022-07-20,60,59,-1,1370.73,1346.07,-24.66,91,180,,0.79,7.5,9.7,64.3,,,,,,,,,,,,,,,,,,,2022-10-10 10:14:51,
6159$ROW36$RANGE4$2FACC X 3IIH6,Lincoln,Lincoln,0,High,225,,17.5,,5,36,4,6159,2FACC X 3IIH6,2022-05-22,2022-07-17,2022-07-18,56,57,1,1268.08,1295.5,27.42,70,153,,1.52,14.1,11.8,63.1,,,,,,,,,,,,,,,,,,,2022-10-10 10:41:52,
6160$ROW36$RANGE5$PHK56 X LH185,Lincoln,Lincoln,0,High,225,,17.5,,5,36,5,6160,PHK56 X LH185,2022-05-22,2022-07-20,2022-07-24,59,63,4,1346.07,1451.51,105.44,66,180,,1.55,14.35,12,63.1,,,,,,,,,,,,,,,,,,,2022-10-10 10:44:38,
6161$ROW36$RANGE6$PHP02 X LH145,Lincoln,Lincoln,0,High,225,,17.5,,5,36,6,6161,PHP02 X LH145,2022-05-22,2022-07-18,2022-07-21,57,60,3,1295.5,1370.73,75.23,80,159,,0.76,7.47,6.6,65.3,,,,,,,,,,,,,,,,,,,2022-10-10 11:17:07,
6162$ROW36$RANGE7$B73 X MO17,Lincoln,Lincoln,0,High,225,,17.5,,5,36,7,6162,B73 X MO17,2022-05-22,2022-07-23,2022-07-28,62,67,5,1422.27,1550.01,127.74,105,198,,2.16,19.47,14.3,61.1,,,,,,,,,,,,,,,,,,,2022-10-10 11:22:05,
6163$ROW36$RANGE8$LH198 X PHB47,Lincoln,Lincoln,0,High,225,,17.5,,5,36,8,6163,LH198 X PHB47,2022-05-22,2022-07-22,2022-07-23,61,62,1,1395.88,1422.27,26.39,95,186,,4.07,37.17,13.2,61.9,,,,,,,,,,,,,,,,,,,2022-10-10 11:50:33,
6164$ROW37$RANGE2$HOEGEMEYER 7089 AMXT,Lincoln,Lincoln,0,High,225,,17.5,,5,37,2,6164,HOEGEMEYER 7089 AMXT,2022-05-22,2022-07-19,2022-07-20,58,59,1,1320.57,1346.07,25.5,73,159,,7.69,70.22,13.2,62.7,15.5,11,3.6,2.5,22.8,15.5,321,23.2,74,16,4.32,71.59,9.51,4.27,0.8,0.9,yellow,,2022-10-10 10:09:44,
6165$ROW37$RANGE3$PIONEER P0589 AMXT,Lincoln,Lincoln,0,High,225,,17.5,,5,37,3,6165,PIONEER P0589 AMXT,2022-05-22,2022-07-19,2022-07-20,58,59,1,1320.57,1346.07,25.5,97,160,,8.26,75.34,13.3,62.5,14.4,11,3.6,2.5,24.2,14.8,278,21.4,62.1,13.5,4.7,66.75,12.16,4.03,1.17,1.08,yellow,,2022-10-10 10:14:28,
6166$ROW37$RANGE4$LH195 X PHM49,Lincoln,Lincoln,0,High,225,,17.5,,5,37,4,6166,LH195 X PHM49,2022-05-22,2022-07-25,2022-07-29,64,68,4,1479.48,1570.26,90.78,86,156,,1.2,10.84,14.1,60.4,,,,,,,,,,,,,,,,,,,2022-10-10 10:42:22,
6167$ROW37$RANGE5$LH198 X PHB47,Lincoln,Lincoln,0,High,225,,17.5,,5,37,5,6167,LH198 X PHB47,2022-05-22,2022-07-24,2022-07-26,63,65,2,1451.51,1498.26,46.75,76,165,,0.99,9.42,9.6,64.4,13.9,12.2,3.6,2.4,29.2,14.2,353,18.7,65.8,17.8,5.13,62.73,13.91,4.35,1.92,1.16,yellow,,2022-10-10 10:44:17,
6168$ROW37$RANGE6$PHP02 X LH185,Lincoln,Lincoln,0,High,225,,17.5,,5,37,6,6168,PHP02 X LH185,2022-05-22,2022-07-23,2022-07-23,62,62,0,1422.27,1422.27,0,74,160,,0.5,5.05,3.9,,17.8,15.6,4.1,2.9,34.2,13.5,405,23.7,93,27.4,5,63.43,14.23,4.09,1.93,1.18,yellow,,2022-10-10 11:17:31,
6169$ROW37$RANGE7$PHK56 X LH198,Lincoln,Lincoln,0,High,225,,17.5,,5,37,7,6169,PHK56 X LH198,2022-05-22,2022-07-21,2022-07-25,60,64,4,1370.73,1479.48,108.75,84,173,,1.97,18.11,12.6,62.7,10.1,10.1,3.2,2,23.5,14,237,17.5,41.3,5.7,4.87,67.01,13.43,4.34,1.31,1.01,yellow,,2022-10-10 11:21:40,
6170$ROW37$RANGE8$PHK76 X LH82,Lincoln,Lincoln,0,High,225,,17.5,,5,37,8,6170,PHK76 X LH82,2022-05-22,2022-07-18,2022-07-22,57,61,4,1295.5,1395.88,100.38,75,158,,5.08,46.07,13.8,61.9,15.8,13.6,3.8,2.5,31.8,16.8,424,18.1,78.1,15.2,5,70.07,10.96,4.51,0.55,1,yellow,,2022-10-10 11:50:58,
6171$ROW38$RANGE2$LH195 X PHZ51,Lincoln,Lincoln,0,High,225,,17.5,,5,38,2,6171,LH195 X PHZ51,2022-05-22,2022-07-24,2022-07-27,63,66,3,1451.51,1522.76,71.25,88,190,,1.88,17.19,13.1,62.6,16,,3.4,2.1,39,14.8,469,23.1,119.6,22.6,,,,,,,yellow,,2022-10-10 10:10:13,
6172$ROW38$RANGE3$LH74 X PHN82,Lincoln,Lincoln,0,High,225,,17.5,,5,38,3,6172,LH74 X PHN82,2022-05-22,2022-07-20,2022-07-23,59,62,3,1346.07,1422.27,76.2,61,129,,4.25,38.68,13.5,62.5,17.9,,3.5,2.5,35.2,14.5,513,22.2,87.6,23.2,,,,,,,yellow,,2022-10-10 10:13:57,
6173$ROW38$RANGE4$SYNGENTA NK0760-3111,Lincoln,Lincoln,0,High,225,,17.5,,5,38,4,6173,SYNGENTA NK0760-3111,2022-05-22,2022-07-23,2022-07-23,62,62,0,1422.27,1422.27,0,90,170,,5.81,52.81,13.6,62,16.1,,3.5,2.4,33.8,15,465,18.1,85.6,15.3,,,,,,,yellow,,2022-10-10 10:42:46,
6174$ROW38$RANGE5$PHK76 X LH82,Lincoln,Lincoln,0,High,225,,17.5,,5,38,5,6174,PHK76 X LH82,2022-05-22,2022-07-19,2022-07-21,58,60,2,1320.57,1370.73,50.16,65,140,,3.88,35.39,13.3,62.5,15.5,,3.2,2.4,34.5,15,435,14.3,62.4,13.8,,,,,,,yellow,,2022-10-10 10:43:55,
6175$ROW38$RANGE6$PHW52 X PHM49,Lincoln,Lincoln,0,High,225,,17.5,,5,38,6,6175,PHW52 X PHM49,2022-05-22,2022-07-24,2022-07-28,63,67,4,1451.51,1550.01,98.5,80,180,,2.86,26.18,13,62.4,12.6,,3.1,1.6,29.5,13.2,281,21.8,61.1,8.5,,,,,,,yellow,,2022-10-10 11:17:57,
6176$ROW38$RANGE7$LH195 X 3IIH6,Lincoln,Lincoln,0,High,225,,17.5,,5,38,7,6176,LH195 X 3IIH6,2022-05-22,2022-07-19,2022-07-22,58,61,3,1320.57,1395.88,75.31,80,180,,2.43,22.45,12.2,63,,,,,,,,,,,,,,,,,,,2022-10-10 11:21:21,
6177$ROW38$RANGE8$SYNGENTA NK0760-3111,Lincoln,Lincoln,0,High,225,,17.5,,5,38,8,6177,SYNGENTA NK0760-3111,2022-05-22,2022-07-22,2022-07-22,61,61,0,1395.88,1395.88,0,98,172,,4.5,41.09,13.2,62.2,15.9,,3.6,2.2,34,15,432,17.2,74,12.4,5.45,69.82,11.43,4.12,2.22,1.58,yellow,,2022-10-10 11:51:22,
6178$ROW39$RANGE2$PHG39 X PHM49,Lincoln,Lincoln,0,High,225,,17.5,,5,39,2,6178,PHG39 X PHM49,2022-05-22,2022-07-23,2022-07-29,62,68,6,1422.27,1570.26,147.99,82,168,,3.29,29.21,15.6,60.9,13.2,12.1,3.6,2.2,27.2,15.5,357,22.2,70,10.2,3.28,68.07,10.87,4.21,1.45,0.89,yellow,,2022-10-10 10:10:34,
6179$ROW39$RANGE3$PHP02 X PHK56,Lincoln,Lincoln,0,High,225,,17.5,,5,39,3,6179,PHP02 X PHK56,2022-05-22,2022-07-18,2022-07-24,57,63,6,1295.5,1451.51,156.01,79,154,,1.38,12.79,11.9,63.2,10.6,11.6,3.9,2.5,24.5,16,290,13.6,38.2,7.7,4.26,64.1,14.2,4.25,1.33,1.25,yellow,,2022-10-10 10:13:31,
6180$ROW39$RANGE4$PHB47 X LH185,Lincoln,Lincoln,0,High,225,,17.5,,5,39,4,6180,PHB47 X LH185,2022-05-22,2022-07-22,2022-07-24,61,63,2,1395.88,1451.51,55.63,70,178,,1.92,17.57,13,62.5,18.4,16.1,4.1,2.8,37,13,407,26.2,107.3,26.1,4.38,62.86,12.16,3.78,2.64,1.09,orange,,2022-10-10 10:43:02,
6181$ROW39$RANGE5$PHB47 X 3IIH6,Lincoln,Lincoln,0,High,225,,17.5,,5,39,5,6181,PHB47 X 3IIH6,2022-05-22,2022-07-19,2022-07-27,58,66,8,1320.57,1522.76,202.19,60,140,,0.77,7.49,7.5,65,11.5,10.8,3,2.2,18.7,14.7,237,12.1,29.8,7.1,4.64,67.5,14.31,4.46,0.99,1.41,,,2022-10-10 10:43:35,
6182$ROW39$RANGE6$LH195 X LH185,Lincoln,Lincoln,0,High,225,,17.5,,5,39,6,6182,LH195 X LH185,2022-05-22,2022-07-23,2022-07-29,62,68,6,1422.27,1570.26,147.99,70,168,,4.11,36.58,15.4,60.6,15.5,14.4,3.6,2.6,32.2,14.5,396,25.9,103.1,15,4.69,68.35,10.6,3.87,1.46,1.04,yellow,,2022-10-10 11:20:04,
6183$ROW39$RANGE7$PHP02 X PHG47,Lincoln,Lincoln,0,High,225,,17.5,,5,39,7,6183,PHP02 X PHG47,2022-05-22,2022-07-17,2022-07-18,56,57,1,1268.08,1295.5,27.42,80,148,,1.93,17.87,12,63.1,12,9.5,3.5,2,25,16,266,13.6,34.9,7.9,3.81,64.81,14.14,5.07,0.64,1.33,yellow,,2022-10-10 11:21:04,
6184$ROW39$RANGE8$PHJ40 X LH82,Lincoln,Lincoln,0,High,225,,17.5,,5,39,8,6184,PHJ40 X LH82,2022-05-22,2022-07-16,2022-07-18,55,57,2,1238.89,1295.5,56.61,70,151,,4.55,41.79,12.7,62.6,13.1,11.8,3,2.2,30.8,15.5,372,15.6,50.9,10.9,4.87,65.37,14.07,4.38,1.06,1.25,yellow,,2022-10-10 11:51:46,
6201$ROW28$RANGE9$HOEGEMEYER 8065RR,Lincoln,Lincoln,0,High,225,,17.5,,6,28,9,6201,HOEGEMEYER 8065RR,2022-05-22,2022-07-19,2022-07-21,58,60,2,1320.57,1370.73,50.16,65,187,,8.76,80.73,12.4,62.9,15.6,13.8,3.4,2.1,35.2,16.2,443,22.3,97.3,13.6,5.52,68.32,10.12,3.77,1.09,1.19,yellow,,2022-10-10 11:56:37,
6202$ROW28$RANGE10$LH185 X W606S,Lincoln,Lincoln,0,High,225,,17.5,,6,28,10,6202,LH185 X W606S,2022-05-22,2022-07-22,2022-07-25,61,64,3,1395.88,1479.48,83.6,83,174,,5.2,47.98,12.3,62.4,16.5,14.5,3.6,2.6,32,13.5,194,20.1,40.6,13,5.41,66.55,10.87,4.21,1.11,0.99,red,,2022-10-10 12:16:52,
6203$ROW28$RANGE11$LH185 X LH145,Lincoln,Lincoln,0,High,225,,17.5,,6,28,11,6203,LH185 X LH145,2022-05-22,2022-07-19,2022-07-21,58,60,2,1320.57,1370.73,50.16,65,165,,3.69,34.01,12.4,62.5,14.5,14.4,3.2,2.1,34.8,13,327,16.8,55.9,11.1,5.62,65.84,11.42,3.97,1.43,1.13,yellow,,2022-10-10 13:10:57,
6204$ROW28$RANGE12$PHK56 X W606S,Lincoln,Lincoln,0,High,225,,17.5,,6,28,12,6204,PHK56 X W606S,2022-05-22,2022-07-21,2022-07-24,60,63,3,1370.73,1451.51,80.78,73,161,,5.36,49,13.1,61.7,14.8,13.9,3.6,2.6,33,15.5,346,21.4,75.2,16.2,5.68,69.39,10.49,4.13,1.03,0.96,orange,,2022-10-10 13:28:03,
6205$ROW28$RANGE13$PHK56 X PHJ89,Lincoln,Lincoln,0,High,225,,17.5,,6,28,13,6205,PHK56 X PHJ89,2022-05-22,2022-07-22,2022-07-22,61,61,0,1395.88,1395.88,0,80,169,,4.01,36.91,12.5,62.1,17.5,16.1,3.6,2.4,36.8,16,492,23.4,118,22.3,5.7,69.29,10.85,4.72,0.72,1.14,yellow,,2022-10-10 13:35:47,
6206$ROW28$RANGE14$LH82 X W606S,Lincoln,Lincoln,0,High,225,,17.5,,6,28,14,6206,LH82 X W606S,2022-05-22,2022-07-21,2022-07-22,60,61,1,1370.73,1395.88,25.14,89,163,,5.87,54.47,11.8,62.6,16,15.1,3.6,2.6,30.2,18,468,17,76.4,13.8,5.57,69.02,10.44,3.9,0.86,1.23,orange,,2022-10-10 13:52:15,
6207$ROW28$RANGE15$PHP02 X LH145,Lincoln,Lincoln,0,High,225,,17.5,,6,28,15,6207,PHP02 X LH145,2022-05-22,2022-07-16,2022-07-20,55,59,4,1238.89,1346.07,107.18,90,190,,7.25,67.04,12.1,62.4,15.4,15.2,3.5,2.5,37,15,406,16.5,64.7,14.5,4.98,65.09,13.17,4.08,1.39,1.27,yellow,,2022-10-10 13:58:55,
