qr,loc,plot,field,nLvl,irrigation,rep,row,range,genotype,population,anthesisDate,anthesisCollector,silkingDate,silkingCollector,notes,leafDimHtNotes,leafDimHtCollector,leafDimHtDate,earHt,flagLeafHt,plantHt,harvestDate,combineYield,combineMoisture,combineTestWt,harvestSeq,combineNotes,earLen,earFillLen,earWidth,shelledCobWidth,shelledCobWt,kernelsPerEar,kernelMass,kernelColor,kernelStriping,hundredKernelWt,pctMoistureEarPhenotyping,moistureCorrectedStarch,moistureCorrectedProtein,moistureCorrectedOil,moistureCorrectedFiber,moistureCorrectedAsh
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT869$ROW5$RANGE23$PHK76 X LH82,North Platte2,869,Hybrid HIPS,Medium,Partial,1,5,23,PHK76 X LH82,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,14.6,3.5,2.5,15.9,15.9,125.7,yellow,N,24.5,NA,72.78,8.44,3.77,0.54,0.88
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT885$ROW5$RANGE25$LH198 X PHZ51,North Platte2,885,Hybrid HIPS,High,Partial,1,5,25,LH198 X PHZ51,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,15.4,4,3,25.1,25.1,140.9,yellow,N,27.9,5,70.95,8.49,4.19,0.71,1.01
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT901$ROW5$RANGE26$PHW52 X PHN82,North Platte2,901,Hybrid HIPS,High,Partial,1,5,26,PHW52 X PHN82,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,16.1,4.2,2.5,23.2,23.2,182.8,yellow,N,37.9,NA,71.65,8.17,4.12,0.44,0.95
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT917$ROW5$RANGE27$PHK56 X PHJ89,North Platte2,917,Hybrid HIPS,High,Partial,1,5,27,PHK56 X PHJ89,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,14.9,3.9,2.5,22.4,22.4,123.7,yellow,N,26.9,4,70.87,10.33,3.48,0.68,0.93
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT933$ROW5$RANGE28$N209 X 3IIH6,North Platte2,933,Hybrid HIPS,High,Partial,1,5,28,N209 X 3IIH6,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,16.8,4.4,3,22.8,22.8,163.3,yellow,N,28.6,4.5,68.38,7.66,3.87,1.35,1.19
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT949$ROW5$RANGE29$LH145 X LH162,North Platte2,949,Hybrid HIPS,High,Partial,1,5,29,LH145 X LH162,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,14.4,3.5,2.2,15.3,15.3,106.1,yellow,N,24.2,NA,71.88,8.51,4.15,0.13,0.89
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT965$ROW5$RANGE30$B37 X H95,North Platte2,965,Hybrid HIPS,High,Partial,1,5,30,B37 X H95,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,14.4,4.1,3.2,22.2,22.2,105.8,yellow,N,23.4,4.4,69.11,10.31,4.41,0.75,0.92
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT981$ROW5$RANGE31$B105 X 3IIH6,North Platte2,981,Hybrid HIPS,High,Partial,1,5,31,B105 X 3IIH6,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6,16.2,4.2,3,18.8,18.8,144,yellow,N,30.1,NA,68.65,8.86,3.79,0.62,1.03
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT997$ROW5$RANGE32$PHK56 X LH185,North Platte2,997,Hybrid HIPS,High,Partial,1,5,32,PHK56 X LH185,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4,16.8,4.4,2.5,21.6,21.6,168,yellow,N,33.1,4.9,70.04,8,3.07,1.08,0.82
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT1013$ROW5$RANGE33$LH195 X LH123HT,North Platte2,1013,Hybrid HIPS,High,Partial,1,5,33,LH195 X LH123HT,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1,15.2,4,2.5,22.4,22.4,130.3,yellow,N,26.4,5.2,71.12,9.15,4.35,0.9,1.05
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT1029$ROW5$RANGE34$LH185 X W606S,North Platte2,1029,Hybrid HIPS,High,Partial,1,5,34,LH185 X W606S,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9,18.1,3.9,2.5,18.6,18.6,116.5,red,N,23.9,NA,71.44,10.24,4.25,0.65,0.87
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT1045$ROW5$RANGE35$PHP02 X PHJ89,North Platte2,1045,Hybrid HIPS,High,Partial,1,5,35,PHP02 X PHJ89,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6,16.9,4,2.9,20.4,20.4,166.8,yellow,N,27,NA,71.84,9.32,4.85,0.51,0.96
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT534$ROW6$RANGE1$PHK76 X LH145,North Platte2,534,Hybrid HIPS,Low,Partial,1,6,1,PHK76 X LH145,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,15.9,3.4,2.4,19.6,19.6,94.7,orange,N,22.5,4.7,69.63,11.06,3.83,0.84,0.88
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT550$ROW6$RANGE2$B73 X PHN82,North Platte2,550,Hybrid HIPS,Low,Partial,1,6,2,B73 X PHN82,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,13,4,2.5,20.2,20.2,126.9,yellow,N,24.3,NA,69.55,9.67,4.15,0.86,1.09
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT566$ROW6$RANGE3$B73 X MO17,North Platte2,566,Hybrid HIPS,Low,Partial,1,6,3,B73 X MO17,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6,15.8,4.1,2.6,22.1,22.1,150,yellow,N,36.4,4.7,68.47,10.98,3.22,1.26,1.02
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT582$ROW6$RANGE4$SYNGENTA NK0760-3111,North Platte2,582,Hybrid HIPS,Low,Partial,1,6,4,SYNGENTA NK0760-3111,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6,17.6,4.6,2.8,25.2,25.2,194.2,yellow,N,32.5,NA,71.64,8.43,2.88,2.14,1.45
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT598$ROW6$RANGE5$LH195 X 3IIH6,North Platte2,598,Hybrid HIPS,Low,Partial,1,6,5,LH195 X 3IIH6,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8,13.2,4,2.4,13.3,13.3,112.2,yellow,N,23.9,NA,68.69,9.31,3.89,0.81,1.15
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT614$ROW6$RANGE6$PHN46 X PHB47,North Platte2,614,Hybrid HIPS,Low,Partial,1,6,6,PHN46 X PHB47,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,13.6,4,2.2,18.6,18.6,129.9,yellow,N,27.9,4.2,71.84,9.65,3.36,0.8,0.66
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT630$ROW6$RANGE7$PHB47 X 3IIH6,North Platte2,630,Hybrid HIPS,Low,Partial,1,6,7,PHB47 X 3IIH6,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9,16.4,3.8,2.5,17.1,17.1,130.4,yellow,N,27.4,NA,67.56,10.36,3.36,1.12,1.03
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT646$ROW6$RANGE8$PHP02 X PHK56,North Platte2,646,Hybrid HIPS,Low,Partial,1,6,8,PHP02 X PHK56,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,15.6,4,2.5,22.9,22.9,137.1,yellow,N,28.4,4.2,68.49,9.88,3.27,1.17,0.94
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT662$ROW6$RANGE9$LH74 X PHM49,North Platte2,662,Hybrid HIPS,Low,Partial,1,6,9,LH74 X PHM49,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,14.1,4.2,2.5,17.4,17.4,90.4,yellow,N,28.2,NA,70.52,10.4,4.37,0.7,0.83
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT678$ROW6$RANGE10$PHP02 X PHJ89,North Platte2,678,Hybrid HIPS,Low,Partial,1,6,10,PHP02 X PHJ89,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6,16.5,4,3,19.1,19.1,130.1,yellow,N,23.8,5.5,69.67,10.63,4.15,0.8,1.13
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT694$ROW6$RANGE11$SYNGENTA NK0760-3111,North Platte2,694,Hybrid HIPS,Low,Partial,1,6,11,SYNGENTA NK0760-3111,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6,15.6,4,2.5,18.7,18.7,148.5,yellow,N,25.3,NA,71.28,9.41,3.66,1.89,1.37
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT710$ROW6$RANGE13$2FACC X 3IIH6,North Platte2,710,Hybrid HIPS,Medium,Partial,1,6,13,2FACC X 3IIH6,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,13.8,4.2,2.5,19.6,19.6,140.5,yellow,N,28.6,4.6,68.59,8.76,3.67,1.41,1.18
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT726$ROW6$RANGE14$2369 X PHZ51,North Platte2,726,Hybrid HIPS,Medium,Partial,1,6,14,2369 X PHZ51,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,13,3.8,2.6,14.9,14.9,97.1,yellow,N,29.4,NA,67.6,11.59,4.02,1.4,0.98
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT742$ROW6$RANGE15$B14A X MO17,North Platte2,742,Hybrid HIPS,Medium,Partial,1,6,15,B14A X MO17,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,15.9,3.9,2.5,18.1,18.1,127.8,yellow,N,25,NA,67.81,9.72,3.49,1.67,1.13
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT758$ROW6$RANGE16$LH195 X LH123HT,North Platte2,758,Hybrid HIPS,Medium,Partial,1,6,16,LH195 X LH123HT,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,16,4,2.6,21.7,21.7,133,yellow,N,29.8,4.6,71.24,9.77,3.56,0.98,0.85
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT774$ROW6$RANGE17$PHB47 X LH185,North Platte2,774,Hybrid HIPS,Medium,Partial,1,6,17,PHB47 X LH185,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,15.9,4.1,2.5,19.4,19.4,154.1,yellow,N,28.8,5.5,68.91,9.82,3.06,1.45,0.95
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT790$ROW6$RANGE18$PHG39 X PHN82,North Platte2,790,Hybrid HIPS,Medium,Partial,1,6,18,PHG39 X PHN82,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,16.9,4.1,2.5,24.7,24.7,162.6,yellow,N,28.4,NA,71.5,9.37,4.2,0.93,0.91
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT806$ROW6$RANGE19$PHB47 X 3IIH6,North Platte2,806,Hybrid HIPS,Medium,Partial,1,6,19,PHB47 X 3IIH6,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9,16.4,4,2.5,18.9,18.9,146.1,yellow,N,26.9,NA,66.96,9.66,3.32,1.52,1.07
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT822$ROW6$RANGE20$PHB47 X PHJ89,North Platte2,822,Hybrid HIPS,Medium,Partial,1,6,20,PHB47 X PHJ89,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,15.1,4.1,2.5,16.1,16.1,135.1,yellow,N,27.9,4.9,70.02,10.04,4.87,0.58,0.87
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT838$ROW6$RANGE21$HOEGEMEYER 8065RR,North Platte2,838,Hybrid HIPS,Medium,Partial,1,6,21,HOEGEMEYER 8065RR,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,17.1,4.5,2.9,20.2,20.2,194.7,yellow,N,50.3,NA,73.33,8.29,4.01,0.6,0.95
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT854$ROW6$RANGE22$PHK56 X PHJ89,North Platte2,854,Hybrid HIPS,Medium,Partial,1,6,22,PHK56 X PHJ89,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,14.5,3.9,2.5,22.2,22.2,123.5,yellow,N,27.2,NA,70.11,10.16,4.09,0.75,1.01
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT870$ROW6$RANGE23$PHP02 X LH185,North Platte2,870,Hybrid HIPS,Medium,Partial,1,6,23,PHP02 X LH185,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8,19.6,4.8,2.9,29.1,29.1,218.4,yellow,N,39.9,NA,66.43,10.37,4.13,1.23,1.24
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT886$ROW6$RANGE25$LH123HT X PHB47,North Platte2,886,Hybrid HIPS,High,Partial,1,6,25,LH123HT X PHB47,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,15.4,3.8,2.2,19.5,19.5,129.3,yellow,N,28.1,4.9,70.37,10.04,3.96,1.6,0.89
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT902$ROW6$RANGE26$LH195 X LH185,North Platte2,902,Hybrid HIPS,High,Partial,1,6,26,LH195 X LH185,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,16.5,4,2.5,20.6,20.6,164.8,yellow,N,32.4,NA,71.7,8.24,3.3,0.78,0.95
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT918$ROW6$RANGE27$PHK76 X LH145,North Platte2,918,Hybrid HIPS,High,Partial,1,6,27,PHK76 X LH145,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,16,3.5,2.5,22.8,22.8,131.8,orange,N,26.4,3.8,72.09,8.99,3.54,0.61,0.78
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT950$ROW6$RANGE29$PHK76 X LH82,North Platte2,950,Hybrid HIPS,High,Partial,1,6,29,PHK76 X LH82,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1,14.9,4,2.5,21.1,21.1,139.3,orange,N,25.9,NA,71.86,8.39,4.35,0.47,0.9
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT966$ROW6$RANGE30$F42 X MO17,North Platte2,966,Hybrid HIPS,High,Partial,1,6,30,F42 X MO17,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1,14.5,4.2,2.9,18.7,18.7,116.7,yellow,N,29.9,4.7,68.46,10.43,3.21,0.94,1.01
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT982$ROW6$RANGE31$2369 X PHP02,North Platte2,982,Hybrid HIPS,High,Partial,1,6,31,2369 X PHP02,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1,15,4.5,2.8,22.6,22.6,137.8,yellow,N,29.9,NA,68.16,9.93,3.77,0.98,1.02
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT998$ROW6$RANGE32$B14A X MO17,North Platte2,998,Hybrid HIPS,High,Partial,1,6,32,B14A X MO17,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,13.6,4,2.2,18.7,18.7,123.4,yellow,N,31.9,4.4,68.07,8.35,3.37,1.05,0.83
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT1014$ROW6$RANGE33$B73 X PHZ51,North Platte2,1014,Hybrid HIPS,High,Partial,1,6,33,B73 X PHZ51,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,17.1,4.5,3.1,27.7,27.7,171.5,yellow,N,26.3,5.1,70.56,7.93,3.92,0.73,0.97
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT1030$ROW6$RANGE34$PHK76 X 3IIH6,North Platte2,1030,Hybrid HIPS,High,Partial,1,6,34,PHK76 X 3IIH6,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,16.8,4,2.5,20.4,20.4,148.8,yellow,N,27.3,NA,70.23,8.38,4.2,0.2,0.97
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT535$ROW7$RANGE1$LH198 X PHZ51,North Platte2,535,Hybrid HIPS,Low,Partial,1,7,1,LH198 X PHZ51,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,12.6,3.6,2.9,16.1,16.1,92.8,yellow,N,23.9,5,68.37,11.76,4.28,1.38,1.09
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT551$ROW7$RANGE2$B37 X MO17,North Platte2,551,Hybrid HIPS,Low,Partial,1,7,2,B37 X MO17,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2,13.1,4,2.5,15.4,15.4,93.2,yellow,N,29.8,NA,67.92,11.61,4.19,1.42,1.12
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT567$ROW7$RANGE3$B37 X OH43,North Platte2,567,Hybrid HIPS,Low,Partial,1,7,3,B37 X OH43,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9,12,3.8,2.4,18,18,91.1,yellow,N,25,4.2,69.83,10.7,3.6,1.23,0.83
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT583$ROW7$RANGE4$PHP02 X PHK76,North Platte2,583,Hybrid HIPS,Low,Partial,1,7,4,PHP02 X PHK76,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,15.8,4.1,2.9,20.8,20.8,129.3,orange,N,31.4,NA,68.43,10.19,3.9,1.39,1.13
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT599$ROW7$RANGE5$PHK76 X W606S,North Platte2,599,Hybrid HIPS,Low,Partial,1,7,5,PHK76 X W606S,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,14.9,3.8,2.9,17.9,17.9,109.1,red,N,27.2,NA,70.89,9.69,3.79,0.35,0.78
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT615$ROW7$RANGE6$LH123HT X PHB47,North Platte2,615,Hybrid HIPS,Low,Partial,1,7,6,LH123HT X PHB47,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,17,3.5,2.1,24.6,24.6,141.5,yellow,N,28.1,4,70.23,11.23,3.36,1.38,0.65
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT631$ROW7$RANGE7$LH185 X W606S,North Platte2,631,Hybrid HIPS,Low,Partial,1,7,7,LH185 X W606S,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,16.9,3.9,2.5,16.6,16.6,109.9,red,N,24.5,NA,69.33,11.76,4.16,0.83,0.88
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT647$ROW7$RANGE8$PHK76 X LH198,North Platte2,647,Hybrid HIPS,Low,Partial,1,7,8,PHK76 X LH198,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,13.9,4.1,3,19.3,19.3,116.9,yellow,N,30.6,4,71.68,9.78,4.12,0.25,0.76
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT663$ROW7$RANGE9$PHN46 X PHK56,North Platte2,663,Hybrid HIPS,Low,Partial,1,7,9,PHN46 X PHK56,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8,13.1,4.5,2.6,19.7,19.7,144.9,yellow,N,30.5,NA,70.16,9.54,4.36,0.74,0.86
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT679$ROW7$RANGE10$PHN46 X W606S,North Platte2,679,Hybrid HIPS,Low,Partial,1,7,10,PHN46 X W606S,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,14.1,4.4,2.8,20.3,20.3,145.5,yellow,N,25.3,5.5,70.18,9.75,4.56,0.15,0.99
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT695$ROW7$RANGE11$SYNGENTA NK0760-3111,North Platte2,695,Hybrid HIPS,Low,Partial,1,7,11,SYNGENTA NK0760-3111,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,16,4.4,2.6,18.7,18.7,143.7,yellow,N,28,NA,71.83,9.98,3.7,2.03,1.39
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT711$ROW7$RANGE13$N209 X 3IIH6,North Platte2,711,Hybrid HIPS,Medium,Partial,1,7,13,N209 X 3IIH6,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4,16.5,4.2,3,19.2,19.2,149.1,yellow,N,24.6,5.2,67.13,9.8,4.7,1.22,1.17
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT727$ROW7$RANGE14$B73 X PHZ51,North Platte2,727,Hybrid HIPS,Medium,Partial,1,7,14,B73 X PHZ51,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,14.5,3.9,2.6,15.5,15.5,78,orange,N,25.7,NA,69.48,11.68,4,0.74,0.93
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT759$ROW7$RANGE16$PHW52 X PHZ51,North Platte2,759,Hybrid HIPS,Medium,Partial,1,7,16,PHW52 X PHZ51,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,15,4.1,2.8,23,23,144.4,yellow,N,33.9,4.9,72.68,8.5,4.41,0.38,0.91
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT775$ROW7$RANGE17$2369 X PHN82,North Platte2,775,Hybrid HIPS,Medium,Partial,1,7,17,2369 X PHN82,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,16.1,3.9,2.5,21.7,21.7,154.8,yellow,N,26.6,NA,73.2,7.55,4,0.28,0.83
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - MEDIUM NITROGEN$REP1$PLOT791$ROW7$RANGE18$PHW52 X PHM49,North Platte2,791,Hybrid HIPS,Medium,Partial,1,7,18,PHW52 X PHM49,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,14.8,4.2,2.4,18.5,18.5,151.8,yellow,N,34.6,NA,72.22,9.79,4.34,0.91,0.96
